please ensure that 1. Climate G&S and 2. Regulation and Frameworks (Climate Risk and Adaptation related initiatives ) are covered here,,,,,,,,,,,,,,,,
Sno,topic,Sub Topic,Initiative,Old Initiative,Sub-Sector included,Sub-Sector Excluded,Description,Why/Benefit,How to achieve this,KPI (Measurable Objective),Evidence/Case Study,Evidence Reference,Cost Saving/Cost ,Carbon Abatement Potential,Time to implement/ROI,Efficiency/Impact measure
,,Strategy,Set a Net Zero target.,Set a Net Zero Strategy,All,None,"Establish a formal commitment to achieve Net Zero greenhouse gas emissions by a specified year, supported by interim targets and a clearly defined organisational scope.","A clear Net Zero target provides long-term direction, strengthens accountability and enables organisations to plan investments, prioritise actions and monitor progress consistently.","Set a Board-approved Net Zero target based on the organisation's GHG inventory. Define the baseline year, target year, organisational boundary, emissions scope and interim milestones. Prioritise emissions reductions before relying on carbon removals and integrate targets into organisational strategy and reporting.","Board-approved Net Zero target with a specified target year and baseline, supported by quantified near-/medium-term targets. Monitor annual % emissions reduction against baseline and progress against the required target trajectory.",M&S – Net Zero and Interim Targets. M&S has an ambition to become Net Zero across its value chain by 2040 and has established interim science-based targets. Its 2025 ESG Report states a target to reduce absolute Scope 1 and 2 emissions by 55% by FY2030 from a FY2017 baseline and reports a 33% reduction against that baseline for the reported period. This demonstrates the use of a long-term Net Zero ambition supported by measurable interim targets and progress reporting; it does not establish that target-setting alone caused the emissions reduction.,M&S ESG Report 2025. https://corporate.marksandspencer.com/sites/marksandspencer/files/2025-05/Marks-and-Spencer-Group-plc-ESG-Report-2025.pdf?utm_source=chatgpt.com,"Low target-setting cost; potentially Medium–High delivery cost. Establishing the target itself requires relatively limited resources, while achieving it can require substantial investment. Efficiency measures and renewable energy may generate longer-term savings.",Indirect target-setting – High enabling potential. The target itself does not reduce emissions; reductions result from the actions and investments undertaken to meet it.,1–3 months to define and approve following completion of the baseline. Delivery extends to the target year. ROI should be assessed through the underlying decarbonisation measures.,Annual absolute and % GHG reduction against baseline; progress against interim target trajectory; Scope 1/2/3 emissions; % of emissions covered by validated targets; projected gap between current trajectory and Net Zero pathway.
,,Strategy,Validate targets through SBTi.,Have targets approved by the Science Based Targets Initiative,All,None,Submit emissions reduction targets for independent validation to ensure they are aligned with the latest climate science.,"Independent validation increases confidence that organisational targets are credible, robust and aligned with the global objective of limiting warming to 1.5°C.","Develop science-based emissions reduction targets covering Scope 1, Scope 2 and relevant Scope 3 emissions. Ensure targets meet current SBTi criteria before submission, respond to any validation feedback and update targets periodically as organisational activities change.",Obtain SBTi validation for applicable near- and/or long-term emissions-reduction targets. Track annual emissions performance against the validated target trajectory and maintain compliance with applicable SBTi requirements.,"SBTi Business Impact Research. SBTi surveyed 171 companies with validated targets alongside a review of 22 studies. 91% reported an overall positive business impact, 80% improved strategic cohesion and long-term vision, 80% strengthened investor relations, 95% enhanced reputation and 86% reported accelerated decarbonisation. This directly supports the value of establishing independently validated science-based targets.",https://sciencebasedtargets.org/news/9-in-10-companies-say-science-based-targets-deliver-positive-business-impact?,"Low–Medium. Costs include validation fees, emissions analysis, staff time and potentially specialist support. Benefits include increased target credibility, stronger stakeholder confidence and improved strategic alignment.","Indirect – High enabling potential. Validation itself does not reduce emissions, but SBTi reports that 86% of surveyed companies experienced accelerated decarbonisation after setting science-based targets.","3–6 months, depending on organisational readiness and validation timelines. ROI is indirect through improved strategic alignment, credibility and accelerated decarbonisation.",Target validation status; % reduction against validated target trajectory; annual Scope 1/2/3 emissions; % of emissions covered by validated targets; variance from required annual reduction pathway.
,,Strategy,Integrate sustainability objectives and KPIs into business planning.,Connect sustainability goals and link sustainability KPIs to your annual operating plan.,All,None,"Embed sustainability objectives, measurable KPIs, budgets and responsibilities into business planning and operational decision-making.",Embedding sustainability into business planning ensures climate objectives become part of day-to-day decision-making rather than standalone initiatives.,"Integrate sustainability objectives into annual business plans and departmental objectives. Assign measurable KPIs, budgets, responsibilities and timelines, ensuring sustainability performance is monitored alongside financial and operational performance through regular management reviews.","100% of material sustainability objectives incorporated into annual business plans, with accountable owners, measurable KPIs and appropriate budgets. Review performance at least quarterly.","M&S – Plan A Integration. M&S reports that Plan A was integrated throughout the business, with every part of the business engaged and Executive Directors having part of their bonus linked to Plan A delivery. M&S reported £160m of net business benefit in 2014/15 from Plan A. This provides a practical example of sustainability being embedded across business operations, although the £160m benefit should not be attributed solely to the planning/integration mechanism.",https://corporate.marksandspencer.com/newsroom/blog/reflections-plan-progress,"Low. Mainly internal planning, KPI management and reporting costs. Potential benefits include improved resource allocation, operational efficiency and delivery of sustainability initiatives.","Indirect – High enabling potential. Integration helps ensure identified emissions-reduction activities receive ownership, resources and management attention.","1–3 months, ideally aligned with the annual planning/budget cycle. Financial ROI is indirect and should be assessed through the initiatives incorporated into the plan.",% sustainability objectives incorporated into business plans; % with allocated budgets/owners; % KPIs on track; % sustainability actions delivered on schedule; annual emissions reduction against plan.
,,Strategy,Develop a long-term decarbonisation funding plan.,Establish a long-term decarbonisation funding plan,All,None,Develop a multi-year financial plan identifying the investment required to deliver the Net Zero Strategy and how it will be funded.,Many decarbonisation projects require significant investment. Long-term financial planning ensures sufficient resources are available to deliver the transition effectively.,"Identify investment requirements for decarbonisation projects, prioritise projects based on emissions reduction potential and business value, align capital allocation with the Net Zero Strategy and regularly review funding requirements. Consider internal investment, green finance and external funding opportunities.",100% of priority decarbonisation projects have identified funding requirements and potential funding sources. Establish a multi-year decarbonisation budget and track annual capital allocated/deployed against the plan.,"British Land – Transition Vehicle. British Land established a Transition Vehicle specifically to provide ring-fenced funding for retrofitting its standing portfolio, R&D and other Net Zero measures. It was initially funded through an internal carbon levy of £60/tCO₂e of embodied carbon on new developments. British Land subsequently reported £31.1m total funding in the vehicle and £9.6m committed to carbon-efficient interventions. This is direct evidence of a structured long-term mechanism for financing decarbonisation.",https://www.britishland.com/news/british-land-sets-out-pathway-to-net-zero-carbon/?,Low–Medium cost to develop; potentially High capital requirement to implement. The funding plan itself is relatively inexpensive; underlying decarbonisation projects may require significant investment but can generate energy and operating-cost savings.,Indirect – High financial enabling potential. The funding mechanism does not itself reduce emissions but directly enables implementation of carbon-reduction projects.,3–6 months to develop and align with budgeting/capital planning. Investment ROI should be calculated at individual project and portfolio level.,£ allocated to decarbonisation annually; % priority projects fully funded; £ invested per tCO₂e expected to be avoided; realised energy-cost savings; actual vs planned capital deployment; tCO₂e reductions delivered by funded projects.
,,Strategy,"Explore external grants, funding and incentives.",,All,None,Identify and access external financial support to accelerate decarbonisation projects and reduce implementation costs.,"External funding can improve project viability, accelerate implementation and reduce the financial burden associated with decarbonisation investments.","Monitor available grants, tax incentives, green finance opportunities and sector-specific funding programmes. Assess eligibility, prepare robust business cases and integrate successful funding into the organisation's wider investment programme.","Review relevant external funding opportunities at least quarterly. Track number/value of applications, success rate, £ external funding secured, % of eligible decarbonisation CAPEX externally funded and emissions reductions enabled by funded projects.","University of West London – Public Sector Decarbonisation Scheme. UWL secured £5.1m of PSDS funding to support retrofit projects across four sites, including ground- and air-source heat pumps, photovoltaic technologies, BMS optimisation and lighting upgrades. The programme reports 529 tCO₂ saved per year and 29% overall energy savings. UWL stated that the availability of external funding enabled it to deliver the energy-saving works. This directly demonstrates how external funding can unlock and accelerate decarbonisation investment.",https://www.london.gov.uk/programmes-strategies/environment-and-climate-change/net-zero-energy/zero-carbon-accelerator/refit/success-story-university-west-london?,"Low application cost / potentially High capital saving. Costs primarily relate to opportunity identification, business-case preparation and administration. Successful grants can materially reduce organisation-funded CAPEX and improve project economics.",Indirect – High enabling potential. Funding does not itself abate carbon but can directly enable projects delivering measurable emissions reductions.,"1–6+ months, depending on programme deadlines and approval processes. Successful grants can materially shorten financial payback for the organisation.",£ external funding secured; application success rate; % project CAPEX funded externally; tCO₂e/year enabled by funded projects; kWh/year saved; change in project payback period following funding.
,,Strategy,Develop a carbon removals strategy and quality criteria.,"Prioritise activity to reduce or remove carbon within your own value chain (""insetting"")",All,None,"Define when carbon removals may be used, establish acceptable removal methods and specify the quality criteria that removal projects must meet.","A robust carbon removals strategy ensures removals are used responsibly, maintains the credibility of Net Zero claims and reduces the risk of relying on low-quality carbon credits.","Quantify expected residual emissions after feasible reductions. Establish a removals policy and quality criteria covering issues such as additionality, durability/permanence, leakage, robust quantification, monitoring and independent verification. Establish governance for procurement and claims and periodically reassess the strategy as standards and technologies develop.","100% of removals used for Net Zero neutralisation meet the organisation's documented quality criteria. Track tonnes of residual emissions, tCO₂ permanently removed, removal durability and % of Net Zero progress achieved through direct reductions versus removals.",SBTi Corporate Net-Zero Standard – Neutralisation Principle. SBTi requires companies pursuing Net Zero to achieve deep emissions reductions and then neutralise residual emissions through permanent carbon removals and storage. SBTi explicitly treats removals as a mechanism for residual emissions rather than a substitute for the emissions reductions required by long-term science-based targets. This directly supports establishing clear rules and quality criteria for the role of removals in a credible Net Zero strategy.,https://sciencebasedtargets.org/blog/what-does-the-net-zero-standard-mean-for-science-based-targets?,"Medium–High depending on removal type and volume. Policy development is relatively low-cost, but high-quality durable removals may be expensive. A robust strategy reduces reputational and integrity risks associated with low-quality credits.","Residual emissions – Medium. Removals can counterbalance residual emissions, but they should follow deep direct/value-chain reductions rather than replace them.",2–4 months to establish policy and criteria; procurement is ongoing. ROI is principally environmental/strategic rather than conventional financial ROI.,% gross emissions reduced before removals; residual tCO₂e; tCO₂ permanently removed; % removals independently verified; % removals meeting quality criteria; average cost per tCO₂ removed.
,,Strategy,Involve your guests in sustainability initiatives- offer discounts for opting out of daily cleaning of the room-- ask them to give feedback on your activities,New Initiaitve ,All,None,Encourage guests to actively participate in sustainability initiatives that reduce the environmental impact of their stay while increasing awareness of the organisation's sustainability commitments.,"Guest behaviour can have a significant impact on energy use, water consumption, waste generation and laundry requirements within accommodation businesses. Engaging guests helps reduce operational environmental impacts while increasing awareness of sustainability, strengthening customer trust and supporting the organisation's wider sustainability and Net Zero objectives.","Develop guest-facing initiatives that encourage more sustainable behaviours throughout their stay. Examples include offering guests the option to opt out of daily housekeeping or towel and linen changes, promoting water and energy conservation, encouraging the use of refillable water stations and sustainable transport options, and communicating the environmental benefits of participation. Where appropriate, provide incentives such as loyalty points, food and beverage vouchers or charitable donations. Regularly collect guest feedback on sustainability initiatives and use insights to improve future programmes.","Achieve ≥50% participation in eligible towel/linen reuse or reduced-housekeeping programmes, while maintaining guest-satisfaction scores. Track avoided housekeeping services, laundry loads and estimated water/energy savings per occupied room.","Direct experimental evidence: A large field experiment covering 21,000 observations across seven hotels found that improved guest messaging increased towel reuse by 6.8% and bed-linen reuse by 1.2% compared with existing messaging. Other hotel experiments found that sustainability messages increased towel reuse relative to no-message controls. Practical example: Hotel Monaco Washington DC implemented a $5 dining credit for guests opting out of resource-intensive housekeeping services. Research also confirms that towel/linen reuse programmes reduce hotel water consumption and laundering costs.",https://www.sciencedirect.com/science/article/abs/pii/S026151771830205X.   https://doee.dc.gov/page/case-study-monaco-washington-dc,"Low cost / potential operating savings. Costs include communications, system/process changes, staff training and incentives. Savings can arise through fewer laundry cycles, lower water/energy/detergent use and reduced housekeeping requirements.","Direct – Medium. Reduced laundry and housekeeping can directly reduce water and energy consumption and associated Scope 1/2 emissions; magnitude depends on participation, laundry arrangements and hotel operations.",1–3 months. Potentially rapid payback because implementation costs are low and reduced laundry/housekeeping can produce recurring operating savings.,Guest participation rate; housekeeping opt-out rate; towel/linen reuse rate; laundry kg per occupied room; litres water per guest-night; kWh per guest-night; housekeeping/laundry cost per occupied room; guest satisfaction; estimated tCO₂e avoided.
,,Staff,"Provide sustainability training for your leadership team, operations and functional central support teams.","Provide sustainability training for your leadership team, operations and functional central support teams.",All,None,"Training designed to equip senior leaders and operations teams with the knowledge needed to oversee sustainability strategy, climate risks, targets and organisational accountability.","Training builds the knowledge and skills needed to deliver the organisation's sustainability strategy. It improves decision-making, strengthens accountability and helps embed sustainability into day-to-day operations and business planning.","Develop a structured sustainability training programme tailored to different roles across the organisation. Cover topics such as climate change, Net Zero, carbon emissions, energy efficiency, waste reduction, sustainable procurement, food waste (where applicable), relevant regulations and individual responsibilities. Include sustainability within employee onboarding, leadership development and mandatory refresher training, and monitor participation and training effectiveness.","≥90% of relevant employees complete sustainability training annually, with ≥80% achieving the required post-training knowledge score. Include sustainability training in 100% of relevant new-starter onboarding.","Environmental Training – Hospitality Evidence. A study of 301 hotel employees found that environmental training significantly improved employees' in-role green performance, both directly and through increased environmental commitment. A separate study of 260 healthcare professionals found that green training increased voluntary pro-environmental behaviour and job satisfaction. This directly supports providing sustainability training as a means of improving employee environmental behaviour and capability.",https://www.sciencedirect.com/science/article/abs/pii/S030147972030712X.  https://www.sciencedirect.com/science/article/abs/pii/S0959652619311187?,"Low–Medium. Costs relate primarily to programme development, external trainers/platforms and employee time. Benefits can arise through reduced resource use, improved compliance and more effective implementation of environmental initiatives.","Indirect – High capability-enabling potential. Training itself does not reduce emissions, but empirical evidence shows it can improve employees' environmental performance and behaviour.",1–3 months to develop and launch an initial programme. Benefits can begin immediately after implementation; financial ROI depends on the operational improvements driven by trained staff.,Training completion rate; assessment/pass rate; improvement in pre-/post-training knowledge scores; % new starters trained; employee green-behaviour score; number of sustainability improvements initiated following training; environmental KPI improvement by trained teams.
,,Staff,Offer a sustainable pension to employees (Ideally make it the default choice),Offer a sustainable pension to employees (Ideally make it the default choice),All,None,"Offer employees workplace pension investment options that incorporate environmental, social and governance (ESG) considerations, ideally making the sustainable option the default fund where appropriate.",Sustainable pension options allow employees to align their retirement savings with responsible investment principles while supporting investment in organisations and projects contributing to the transition to a low-carbon economy.,"Work with pension providers to identify sustainable investment options that align with recognised responsible investment principles. Clearly communicate available options to employees and consider making the sustainable fund the default option where permitted, while maintaining employee choice. Review pension providers and investment options periodically to ensure they continue to meet recognised sustainability standards.","100% of employees have access to a sustainable pension option. Where appropriate, establish a sustainable default and track % of employees invested in it. Require annual reporting on financed-emissions intensity and progress against the pension fund's climate targets.","Smart Pension – Sustainable Default Fund. Smart Pension's default growth fund, used by the large majority of its members, was moved to funds promoting ESG characteristics. Smart reported that the fund achieved a 50% reduction in financed emissions, more than two years ahead of its original target, and has a target to reach Net Zero by 2040. This directly demonstrates that sustainability can be incorporated into a workplace pension default investment strategy and that the financed-emissions intensity of that default can be materially reduced.",https://www.smartpension.co.uk/news-and-insights/default-growth-fund-emissions.   https://www.smartpension.co.uk/news-and-insights/100-sustainable-investments,"Low implementation cost. Costs mainly relate to reviewing pension arrangements, procurement/advice and employee communications. Fund charges and investment performance should also be considered when evaluating options.",Indirect / Financed Emissions – Medium–High. Does not directly reduce operational emissions but can materially reduce the financed-emissions intensity associated with employees' pension investments and support wider economy decarbonisation.,"3–6 months, depending on provider contracts, governance and consultation requirements. Conventional operational ROI is not the primary metric; investment performance and member outcomes must remain central.",% employees in sustainable default; financed emissions per £m invested; % reduction in pension financed emissions; % assets aligned with climate targets; pension engagement rate; member opt-out/switching rate; investment performance relative to appropriate benchmark.
,,Staff,Understand employee sustainability expectations and strengthen engagement,Understand the shifting customer expectations of business and opportunities to build brand on sustainability credentials,All,None,Engage employees to understand their sustainability expectations and encourage active participation in delivering the organisation's sustainability objectives.,"Engaged employees are more likely to support sustainability initiatives, contribute new ideas and adopt more sustainable behaviours. Employee engagement also strengthens organisational culture, improves retention and reinforces the credibility of sustainability commitments.","Gather employee feedback through surveys, workshops, engagement sessions and regular communications to understand sustainability priorities and identify opportunities for improvement. Encourage employee participation through Green Teams, sustainability champions, volunteering initiatives, idea-sharing programmes and recognition schemes. Regularly communicate sustainability progress and demonstrate how employee feedback influences organisational decisions.",Conduct an employee sustainability survey at least annually and achieve ≥60% response rate. Establish employee sustainability representation across relevant functions/sites and track participation in sustainability initiatives. Respond formally to 100% of material themes identified through employee feedback.,"Employee Environmental Engagement – Empirical Evidence. A matched employee/supervisor study involving approximately 350 employees and 59 managers found that employee environmental sustainability engagement had a significant positive relationship with environmental performance. Separately, a quasi-experimental field study found that peer communication significantly increased employees' awareness, pride and participation in company environmental programmes compared with control groups. Together, these directly support actively understanding, communicating with and involving employees in sustainability.",https://www.sciencedirect.com/science/article/abs/pii/S0959652621004601?    https://www.sciencedirect.com/science/article/abs/pii/S0959652617325568?,"Low. Costs mainly involve surveys, workshops, internal communications and employee participation time. Benefits may include more sustainability ideas, stronger organisational culture and improved environmental performance.",Indirect – Medium–High behavioural enabling potential. Engagement can increase participation in operational sustainability initiatives but does not itself create a fixed quantity of carbon reduction.,2–4 months to establish the initial programme; engagement should continue throughout the year. ROI is mainly through improvements generated by employee ideas and behavioural change.,Employee sustainability engagement score; survey participation; % employees participating in initiatives; number of employee sustainability ideas submitted/implemented; Green Team participation; quantified energy/waste/carbon savings from employee-led initiatives.
,,Staff,Embed sustainability into employee roles and responsibilities,New Initiaitve ,All,None,"Clearly define how sustainability contributes to individual roles and responsibilities, ensuring sustainability becomes part of day-to-day decision-making and performance.","Sustainability cannot be delivered by a single team alone. Embedding sustainability into individual roles creates shared ownership, strengthens accountability and ensures sustainability is considered in everyday operational and strategic decisions.","Identify how sustainability applies to different functions across the organisation, including operations, procurement, facilities, HR, finance, marketing and leadership. Update job descriptions, objectives and performance expectations where appropriate to reflect sustainability responsibilities. Ensure managers communicate expectations clearly and provide employees with the resources needed to fulfil their responsibilities.",100% of roles identified as materially influencing sustainability have documented sustainability responsibilities. Include measurable sustainability objectives in ≥90% of relevant employee/manager performance plans and review progress at least annually.,Green Performance Management – Empirical Evidence. A 2026 study covering 92 manufacturing firms and 242 senior/mid-ranking executives examined green performance management alongside other Green HRM practices and its relationship with firm environmental performance through employee green behaviour. Broader hospitality research also finds that performance management contributes to environmental performance through employees' environmental citizenship behaviour. This provides more direct evidence than the M&S example that formalising environmental expectations within employee performance systems can support environmental outcomes.,https://www.sciencedirect.com/org/science/article/abs/pii/S0972798125000213.  https://www.sciencedirect.com/science/article/abs/pii/S0278431919307996?,"Low. Primarily HR and management time required to review job descriptions, objectives and performance-management processes. Improved clarity of accountability can reduce duplication and improve delivery.","Indirect – High behavioural/implementation enabling potential. Does not directly abate emissions but strengthens accountability for actions that reduce emissions, waste and resource use.","1–3 months, ideally aligned with HR objective-setting or appraisal cycles. Financial ROI is indirect through improved execution of sustainability measures.",% relevant job descriptions containing sustainability responsibilities; % relevant employees with sustainability objectives; % sustainability objectives achieved; environmental performance by function/team; number of overdue sustainability actions.
,,Staff,Recognizing and rewarding employees for their contributions to sustainability efforts can boost morale and motivation,New Initiaitve ,All,None,"Establish formal mechanisms to recognise and, where appropriate, reward employees or teams that contribute to achieving sustainability objectives, implementing environmental improvements or developing innovative sustainability solutions.","Recognition reinforces desired behaviours, makes sustainability contributions visible and can strengthen employee motivation and participation. Well-designed rewards can encourage continued pro-environmental behaviour while demonstrating that sustainability performance is valued by the organisation.","Define clear eligibility and criteria linked to measurable sustainability outcomes or meaningful behaviours. Use a mix of non-financial recognition—such as awards, internal recognition and development opportunities—and proportionate financial or team incentives where appropriate. Reward both outcomes and the actions that produced them to avoid encouraging gaming of individual metrics. Communicate successful initiatives across the organisation.","Establish a formal sustainability recognition mechanism and review nominations at least annually or quarterly. Track number of recognised employees/teams, participation rate and environmental outcomes associated with rewarded initiatives. Aim for 100% of sustainability awards to be supported by measurable impact or verified contribution.",Environmental KPI and Employee Reward Case Study. A 2024 Ecological Indicators study examined an Italian food company that created approximately 70 environmental KPIs and directly linked them to rewards for managers and employees through management-by-objectives. This demonstrates a practical method for linking measurable environmental performance to employee recognition and rewards. Research on green compensation further argues that rewards are more effective when they explicitly recognise environmental contribution and incorporate both environmental outcomes and the process used to achieve them.,https://www.sciencedirect.com/science/article/pii/S1470160X2301631X?   https://link.springer.com/article/10.1007/s10551-024-05762-4?,Low–Medium. Non-financial recognition can be delivered at very low cost; financial awards create additional costs. Savings may arise from employee-generated efficiency and resource-reduction ideas.,Indirect – Medium–High behavioural enabling potential. Rewards do not themselves reduce emissions but can reinforce employee behaviours and innovations that deliver environmental improvements.,1–3 months to design criteria and integrate into existing recognition systems. ROI should be assessed through measurable benefits generated by recognised initiatives.,Number of sustainability nominations/awards; % workforce participating; quantified tCO₂e/kWh/water/waste savings from recognised projects; financial savings from employee sustainability initiatives; repeat participation rate; employee perception of sustainability recognition.
,,Regulation,Develop and maintain a Climate Transition Plan.,New Initiaitve ,All,None,"Develop and maintain a Climate Transition Plan that outlines how the organisation will achieve its climate and Net Zero commitments through defined actions, governance, investment, timelines and performance monitoring.","A Climate Transition Plan provides a structured roadmap for achieving climate commitments and translating strategic ambitions into practical actions. It supports long-term decision-making, improves organisational resilience, strengthens investor and stakeholder confidence and ensures climate considerations are integrated into business planning and investment decisions.","Develop the plan in alignment with the organisation's sustainability strategy, GHG baseline and Net Zero targets. Identify material Scope 1, 2 and 3 emissions sources and corresponding decarbonisation levers. Define short-, medium- and long-term actions, responsible owners, required investment, implementation timelines and dependencies. Integrate the plan into business planning, financial planning, risk management and governance processes. Establish metrics and interim milestones, disclose progress regularly and update the plan when material changes in regulation, technology, business activity or performance occur.","Maintain a Board-approved Climate Transition Plan covering 100% of material Scope 1, 2 and relevant Scope 3 emissions. Assign accountable owners and timelines to 100% of priority actions and review progress against quantified interim targets at least annually.","UK Government – Business Benefits of Transition Planning. The UK Government's review of evidence on climate-transition-plan requirements concludes that transition planning can deliver significant benefits to companies, including supporting firm-level emissions reductions, increasing competitiveness and reducing the cost of debt. It cites research finding that 65% of executives believe achieving their transition targets would make their company more or much more competitive. Separately, a 2026 study of 239 Fortune Global 500 non-financial firms, covering 1,126 firm-year observations, found that greater Climate Transition Plan credibility was significantly associated with better subsequent carbon performance. Together, the evidence supports both the business rationale and environmental value of developing a credible transition plan, although the carbon-performance relationship should be interpreted as an association rather than definitive causation.",UK Government – Climate-related Transition Plan Requirements: Benefits of Transition Planning / Frontiers – Do Credible Climate Transition Plans Matter for Carbon Performance?     https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2026.1907357/full.    https://www.gov.uk/government/consultations/climate-related-transition-plan-requirements/transition-plan-requirements-implementation-routes-accessible-webpage?,"Low–Medium planning cost; potentially Medium–High implementation investment. Costs include emissions analysis, scenario/financial planning, governance, staff time and potentially external advisory support. The underlying decarbonisation measures may require significant investment. However, evidence reviewed by the UK Government suggests transition planning can improve competitiveness and reduce financing costs, while better planning can also help organisations prioritise investments and identify efficiency opportunities.","Indirect – Very High enabling potential. Developing the plan does not itself reduce emissions; reductions arise from implementing the measures within it. However, empirical evidence from Fortune Global 500 firms found that greater transition-plan credibility was significantly associated with better subsequent carbon performance.","3–6 months to develop an initial plan, depending on organisational complexity and data maturity. Review at least annually and update following material strategic, regulatory or technological changes. Financial ROI is indirect and should primarily be assessed through the investments and operational measures delivered through the plan.","% transition-plan actions completed on schedule; annual Scope 1, 2 and 3 tCO₂e reduction against baseline; % progress against interim targets; % priority actions with allocated budgets and accountable owners; £ decarbonisation investment deployed against plan; tCO₂e reduced through plan actions; variance from planned Net Zero trajectory."
,,Regulation,"Disclose climate-related information using recognised reporting frameworks (e.g. UK SRS, IFRS S2 and TCFD).",New Initiaitve ,All,None,"Disclose climate-related governance, strategy, risks, opportunities, metrics and performance using recognised sustainability reporting frameworks to improve transparency and accountability.","Transparent climate reporting helps organisations demonstrate accountability, build trust with investors, customers and other stakeholders, and communicate progress towards sustainability objectives. Consistent reporting also supports better decision-making and prepares organisations for evolving reporting requirements.","Identify the reporting frameworks most appropriate to the organisation and establish processes for collecting, managing and verifying sustainability data. Report climate-related governance, risks, opportunities, emissions, targets and progress consistently using recognised frameworks. Ensure disclosures are supported by reliable evidence and review reporting processes regularly to improve data quality and meet evolving stakeholder expectations.","Publish climate-related disclosures annually in accordance with all applicable reporting requirements, covering governance, strategy, risk management and metrics/targets. Aim for 100% disclosure of applicable material requirements, track data completeness and obtain independent assurance over material climate metrics where proportionate and appropriate.","Climate Disclosure and Financial Performance – Empirical Evidence. A 2024 study of publicly listed companies found that greater transparency in carbon-emissions disclosure significantly lowered firms' implied cost of capital, with improved stock liquidity identified as an important mechanism. A separate 2025 international study covering 134 firms found that greater climate-change disclosure was associated with lower cost of capital and higher firm value. More recent research examining TCFD-aligned disclosure specifically found that quantitative climate disclosures were associated with significantly greater improvements in profitability and market valuation and lower financing costs than qualitative disclosures, with particularly strong benefits in industries where climate risk is financially material. Together, these studies provide evidence that meaningful and decision-useful climate disclosure can produce financial benefits for firms rather than serving solely as a compliance exercise.",https://www.sciencedirect.com/science/article/abs/pii/S0313592624001346?  https://onlinelibrary.wiley.com/doi/10.1002/bse.71121,"Low–Medium, potentially Medium for larger/complex organisations. Costs include data collection and management, reporting systems, staff time, specialist support and potentially external assurance. However, empirical evidence indicates that stronger climate/carbon disclosure can be associated with lower cost of capital, while standardised reporting can improve internal understanding of climate-related financial risks and opportunities.","Indirect – Medium enabling potential. Disclosure itself does not directly reduce GHG emissions. However, transparent measurement and reporting strengthen accountability, make performance against climate targets visible to management and stakeholders, and can support better allocation of capital towards decarbonisation. Carbon reductions should therefore be attributed to the underlying actions rather than to disclosure itself.","3–6 months to establish an initial reporting process where core climate and emissions data already exist; potentially 6–12 months for organisations developing reporting systems, controls and data for the first time. Reporting should then occur annually. Financial ROI is indirect, although empirical studies indicate potential benefits through reduced financing costs and improved market valuation.",% of applicable disclosure requirements completed; % material climate metrics supported by reliable data; % externally assured climate metrics; number of reporting/data-quality issues identified; reporting completion time; annual improvement in disclosure quality/completeness; investor/stakeholder engagement with climate disclosures; cost of capital over time; progress against disclosed emissions targets.
