Case_Source_ID,Case_ID,Initiative_ID,Sort_Order,Label,Source_URL,Source_Host
CASE-0006-S03,CASE-0006,INIT-0006,3,Leicester City Council Pool VSD Case,https://www.leicester.gov.uk/media/e3dnjnr3/4f-leicester-vsd-0223.pdf,leicester.gov.uk
CASE-0007-S01,CASE-0007,INIT-0007,1,UK Government Yeo Valley Heat Recovery Case,https://assets.publishing.service.gov.uk/media/611b863e8fa8f53dc88ae8b7/ihrs-case-study-yeo-valley.pdf,assets.publishing.service.gov.uk
CASE-0007-S02,CASE-0007,INIT-0007,2,Hospitality Sector Council Burger King Innovation Case,https://hospitalitysectorcouncil.org/news/enjay-and-burger-king-innovation-case-study/,hospitalitysectorcouncil.org
CASE-0008-S01,CASE-0008,INIT-0008,1,Energy Technology List Leadenhall Autoflame Case,https://etl.energysecurity.gov.uk/case-studies/autoflame-burner-controllers-save-energy-londons-leadenhall-building-and-nhs,etl.energysecurity.gov.uk
CASE-0009-S01,CASE-0009,INIT-0009,1,Minnesota Hotel DHW Recirculation Study,https://www.mncee.org/sites/default/files/report-files/522971.pdf,mncee.org
CASE-0009-S02,CASE-0009,INIT-0009,2,Symmons Hampton Inn DHW System Failure Case,https://discover.symmons.com/wp-content/uploads/2020/03/evolution-system-failure-case-study-03.02.20.pdf,discover.symmons.com
CASE-0010-S01,CASE-0010,INIT-0010,1,U.S. GSA Advanced Power Strips Findings,https://www.gsa.gov/system/files/GPG003-Advanced%20Power%20Strips-Findings-508R.pdf,gsa.gov
CASE-0010-S02,CASE-0010,INIT-0010,2,U.S. DOE Shari’s Café & Pies Case,https://betterbuildingssolutioncenter.energy.gov/implementation-models/easy-pie-sharis-cafe-and-pies-drives-energy-savings-through-employee-behavior,betterbuildingssolutioncenter.energy.gov
CASE-0011-S01,CASE-0011,INIT-0011,1,U.S. DOE CCAC Computer Power Management,https://betterbuildingssolutioncenter.energy.gov/implementation-models/ccac-computer-power-management,betterbuildingssolutioncenter.energy.gov
CASE-0011-S02,CASE-0011,INIT-0011,2,California Energy Commission Smart Plug Load Controls,https://www.energy.ca.gov/publications/2025/smart-plug-load-controls-integrated-building-energy-management-systems,energy.ca.gov
CASE-0012-S01,CASE-0012,INIT-0012,1,ACEEE Hyatt Place Elevator Case,https://www.aceee.org/sites/default/files/publications/researchreports/a1501.pdf,aceee.org
CASE-0012-S02,CASE-0012,INIT-0012,2,Columbus McKinnon Emily Morgan Hotel Case,https://www.cmco.com/en-sx/resources/case-studies-listing-page/emily-morgan-hotel-realizes-rebates-with-quattro-drives/,cmco.com
CASE-0013-S01,CASE-0013,INIT-0013,1,Leicester City Council Pool VSD Case,https://www.leicester.gov.uk/media/e3dnjnr3/4f-leicester-vsd-0223.pdf,leicester.gov.uk
CASE-0013-S02,CASE-0013,INIT-0013,2,Hong Kong Polytechnic University Hotel Pool Heat Pump Case,https://research.polyu.edu.hk/en/publications/energy-saving-supporting-tourism-sustainability-a-case-study-of-h/,research.polyu.edu.hk
CASE-0014-S01,CASE-0014,INIT-0014,1,CCAC Low-GWP Commercial Refrigeration Cases,https://www.ccacoalition.org/sites/default/files/resources/files/2015_11_case-studies-low-gwp-commercial-refrigeration-technologies.pdf,ccacoalition.org
CASE-0014-S02,CASE-0014,INIT-0014,2,Natural Resources Canada Loblaw CO₂ Refrigeration Case,https://natural-resources.canada.ca/maps-tools-publications/publications/co2-cold-distribution-loblaw-supermarket,natural-resources.canada.ca
CASE-0015-S01,CASE-0015,INIT-0015,1,Shropshire Commercial Refrigeration Guide,https://next.shropshire.gov.uk/media/4555/refrigeration_guide.pdf,next.shropshire.gov.uk
CASE-0015-S02,CASE-0015,INIT-0015,2,AKO Grocery Chain Refrigerant Leak Detection Case,https://monitoring.ako.com/casos-de-exito/success-story-retail-food-distribution/,monitoring.ako.com
CASE-0016-S01,CASE-0016,INIT-0016,1,Facilio HelloFresh Refrigerant Compliance Case,https://facilio.com/newsroom/hellofresh-facilio-press-release/,facilio.com
CASE-0016-S02,CASE-0016,INIT-0016,2,Bueno Analytics Woolworths Refrigerant Leak Case,https://buenoanalytics.com/case-study/woolworths-case-study-refrigerant-leak-detection/,buenoanalytics.com
CASE-0017-S01,CASE-0017,INIT-0017,1,UK Government WEEE Refrigerant Recovery Guidance,https://www.gov.uk/guidance/waste-electrical-and-electronic-equipment-weee-refrigerant-recovery-monitoring,gov.uk
CASE-0017-S02,CASE-0017,INIT-0017,2,Carrier University of Rochester Refrigerant Destruction Case,https://www.carrier.com/commercial/en/us/literature/case-studies/education/u-of-r/,carrier.com
CASE-0018-S01,CASE-0018,INIT-0018,1,Energy Technology List Greene King Case,https://etl.energysecurity.gov.uk/case-studies/etl-approved-rhino-products-keep-drinks-cool-punch-and-judy-pub,etl.energysecurity.gov.uk
CASE-0018-S02,CASE-0018,INIT-0018,2,Dorset Council Washingpool Farm Case,https://www.dorsetcouncil.gov.uk/w/washingpool-farm-shop,dorsetcouncil.gov.uk
CASE-0019-S01,CASE-0019,INIT-0019,1,IESO Freezer Setpoint Research Study,https://www.ieso.ca/-/media/Files/IESO/Document-Library/research/CC-Energy-Efficiency-Studies-and-Demonstrations-2019-04-25,ieso.ca
CASE-0020-S01,CASE-0020,INIT-0020,1,Energy Saving Trust Outdoor Heating Comparison,https://energysavingtrust.org.uk/summer-energy-saving/,energysavingtrust.org.uk
CASE-0021-S01,CASE-0021,INIT-0021,1,UKGBC Entopia Building Case,https://ukgbc.org/resources/the-entopia-building/,ukgbc.org
CASE-0021-S02,CASE-0021,INIT-0021,2,McDonald’s UK Net-Zero Restaurant,https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
CASE-0022-S01,CASE-0022,INIT-0022,1,McDonald’s UK Net-Zero Restaurant,https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
CASE-0022-S02,CASE-0022,INIT-0022,2,UKGBC Entopia Building Case,https://ukgbc.org/resources/the-entopia-building/,ukgbc.org
CASE-0023-S01,CASE-0023,INIT-0023,1,McDonald’s UK Net-Zero Restaurant,https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
CASE-0023-S02,CASE-0023,INIT-0023,2,RICS Whole Life Carbon Assessment Standard,https://www.rics.org/content/dam/ricsglobal/documents/standards/Whole_life_carbon_assessment_PS_Sept23.pdf,rics.org
CASE-0024-S01,CASE-0024,INIT-0024,1,McDonald’s UK Net-Zero Restaurant,https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
CASE-0024-S02,CASE-0024,INIT-0024,2,RICS Whole Life Carbon Assessment Standard,https://www.rics.org/content/dam/ricsglobal/documents/standards/Whole_life_carbon_assessment_PS_Sept23.pdf,rics.org
CASE-0025-S01,CASE-0025,INIT-0025,1,UKGBC Entopia Building Case,https://ukgbc.org/resources/the-entopia-building/,ukgbc.org
CASE-0025-S02,CASE-0025,INIT-0025,2,University of California Walker Hall Adaptive Reuse Case,https://lowcarbonbuilding.universityofcalifornia.edu/case-studies/walker-hall.html,lowcarbonbuilding.universityofcalifornia.edu
CASE-0026-S01,CASE-0026,INIT-0026,1,UKGBC Timber Square Case,https://ukgbc.org/resources/timber-square/,ukgbc.org
CASE-0026-S02,CASE-0026,INIT-0026,2,Apricity Circular Restaurant Fit-out Case,https://www.apricityrestaurant.com/design,apricityrestaurant.com
CASE-0027-S01,CASE-0027,INIT-0027,1,McDonald’s UK Net-Zero Restaurant,https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
CASE-0027-S02,CASE-0027,INIT-0027,2,Dulux Paint Carbon Data,https://www.duluxdecoratorcentre.co.uk/sustainable-specifications/paint-carbon-data,duluxdecoratorcentre.co.uk
CASE-0027-S03,CASE-0027,INIT-0027,3,Interface Heuga 580 II Product Carbon Data,https://shop.interface.com/GB/en-GB/carpet-tile/heuga-580-ii/1267C.html,shop.interface.com
CASE-0027-S04,CASE-0027,INIT-0027,4,Knauf Rocksilk Flexible Slab EPD,https://knauf.com/api/download-center/v1/assets/b8df2cec-1797-4cc4-8b66-77ae36cd4dcc?country=gb&download=true,knauf.com
CASE-0028-S01,CASE-0028,INIT-0028,1,Energy Technology List Whitbread Refrigeration Case,https://etl.energysecurity.gov.uk/case-studies/adande-refrigeration-helps-whitbread-cut-energy-use-46-percent,etl.energysecurity.gov.uk
CASE-0029-S01,CASE-0029,INIT-0029,1,UKGBC JLL Manchester Fit-Out Case,https://ukgbc.org/resources/jll-manchester-office-fit-out/,ukgbc.org
CASE-0029-S02,CASE-0029,INIT-0029,2,UKGBC Timber Square Case,https://ukgbc.org/resources/timber-square/,ukgbc.org
CASE-0030-S01,CASE-0030,INIT-0030,1,Optimised Radisson Blu Case Study,https://www.optimised.net/services/case-studies/radisson-blu,optimised.net
CASE-0030-S02,CASE-0030,INIT-0030,2,U.S. DOE Hotel Monaco Showcase Project,https://betterbuildingssolutioncenter.energy.gov/showcase-projects/general-services-administration-gsa-hotel-monaco,betterbuildingssolutioncenter.energy.gov
CASE-0031-S01,CASE-0031,INIT-0031,1,Energy Technology List Greene King Case,https://etl.energysecurity.gov.uk/case-studies/etl-approved-rhino-products-keep-drinks-cool-punch-and-judy-pub,etl.energysecurity.gov.uk
CASE-0031-S02,CASE-0031,INIT-0031,2,Carbon Trust Contract Catering Equipment Study,https://www.carbontrust.com/our-work-and-impact/guides-reports-and-tools/industrial-energy-efficiency-contract-catering-sector,carbontrust.com
CASE-0032-S01,CASE-0032,INIT-0032,1,National Gas Metering Hydrogen Kitchen Case,https://www.nationalgas.com/metering/ngm-case-studies/national-gas-metering-develop-worlds-first-hydrogen-powered-commercial,nationalgas.com
CASE-0033-S01,CASE-0033,INIT-0033,1,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0034-S01,CASE-0034,INIT-0034,1,Trane Wendy’s HVAC Case Study,https://www.trane.com/commercial/north-america/us/en/about-us/newsroom/case-studies/retail/Wendys.html,trane.com
CASE-0034-S02,CASE-0034,INIT-0034,2,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0035-S01,CASE-0035,INIT-0035,1,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0035-S02,CASE-0035,INIT-0035,2,Better Buildings Partnership Green Lease Clauses,https://www.betterbuildingspartnership.co.uk/green-lease-toolkit/green-lease-clauses,betterbuildingspartnership.co.uk
CASE-0036-S01,CASE-0036,INIT-0036,1,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0037-S01,CASE-0037,INIT-0037,1,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0037-S02,CASE-0037,INIT-0037,2,City Energy Project The Coffee House Green Lease Case,https://www.cityenergyproject.org/wp-content/uploads/2018/02/The_Coffee_House_Green_Lease_Case_Study.pdf,cityenergyproject.org
CASE-0038-S01,CASE-0038,INIT-0038,1,GreenPark / Energy & Carbon Management Hotel Operator Case,https://www.greenparkhotelsandresorts.com/portfolio-items/national-hotel-operator-saving-22-in-total-energy-consumption/,greenparkhotelsandresorts.com
CASE-0038-S02,CASE-0038,INIT-0038,2,Iberdrola RIU Hotels Renewable Electricity Agreement,https://www.iberdrola.com/press-room/news/detail/iberdrola-to-supply-green-energy-to-riu-hotels-and-resorts-hotels-and-headquarters-in-spain,iberdrola.com
CASE-0039-S01,CASE-0039,INIT-0039,1,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0039-S02,CASE-0039,INIT-0039,2,CIBSE Hollywood House Green Lease Case,https://www.cibse.org/knowledge-research/knowledge-portal/cibse-case-study-green-lease-on-1980s-block/,cibse.org
CASE-0040-S01,CASE-0040,INIT-0040,1,U.S. DOE Wendy’s Franchisee Case,https://betterbuildingssolutioncenter.energy.gov/solutions-at-a-glance/wendys-franchisee-carlisle-llc-improving-energy-efficiency-leading-edge-hvac,betterbuildingssolutioncenter.energy.gov
CASE-0040-S02,CASE-0040,INIT-0040,2,McDonald’s China Green Restaurant Programme,https://www.mcdonalds.com.cn/index/News/greenrestaurant5000,mcdonalds.com.cn
CASE-0041-S01,CASE-0041,INIT-0041,1,"Source: JRP Solutions, ESOS energy audit and compliance - BMI Healthcare case study (consultancy/supplier source, unofficial)",https://www.jrpsolutions.com/case-studies/esos-energy-audit-and-compliance-1,jrpsolutions.com
CASE-0041-S02,CASE-0041,INIT-0041,2,"Source: The Carbon Trust, 'Industrial energy efficiency: Contract catering sector', Industrial Energy Efficiency Accelerator, with Sodexo, Elior, Aramark and Caterlink (independent not-for-profit, first-party to the study)",https://www.carbontrust.com/our-work-and-impact/guides-reports-and-tools/industrial-energy-efficiency-contract-catering-sector,carbontrust.com
CASE-0042-S01,CASE-0042,INIT-0042,1,"Sources: edie.net, 'Premier Inn installs UK's first hotel-based energy storage unit', January 2019 (third-party trade press, unofficial - not a company disclosure)",https://www.edie.net/premier-inn-installs-uks-first-hotel-based-energy-storage-unit/,edie.net
CASE-0042-S02,CASE-0042,INIT-0042,2,"Energy-Storage.News, 'E.On supplies and manages UK's first battery install at major hotel chain' (trade press, partially paywalled; corroborates the above and adds the grid-services and remote-operation detail)",https://www.energy-storage.news/e-on-supplies-and-manages-uks-first-battery-install-at-major-hotel-chain/,energy-storage.news
CASE-0043-S01,CASE-0043,INIT-0043,1,"Source: SaveMoneyCutCarbon, Greene King distribution centre LED case study (installer/supplier source, unofficial)",https://www.savemoneycutcarbon.com/project/greene-king-distribution-centre/,savemoneycutcarbon.com
CASE-0043-S02,CASE-0043,INIT-0043,2,"Vision Linens, How hotels can cut energy costs by using energy-efficient lighting (third-party, unofficial - reports the Travelodge programme)",https://www.visionlinens.com/blog/how-hotels-can-cut-energy-costs-by-using-energy-efficient-lighting,visionlinens.com
CASE-0044-S01,CASE-0044,INIT-0044,1,"Source: Whitbread PLC, 'First all-electric Premier Inn hotel powered entirely by renewables opens in Swindon', 16 October 2023 (official, first-party)",https://www.whitbread.co.uk/first-all-electric-premier-inn-hotel-powered-entirely-by-renewables-opens-in-swindon/,whitbread.co.uk
CASE-0044-S02,CASE-0044,INIT-0044,2,"Source: Fuller, Smith & Turner P.L.C., Journey to Net Zero (official, first-party company website)",https://www.fullers.co.uk/corporate/sustainability/planet/journey-to-net-zero,fullers.co.uk
CASE-0044-S03,CASE-0044,INIT-0044,3,"Source: The Carbon Trust, 'Industrial energy efficiency: Contract catering sector', Industrial Energy Efficiency Accelerator, with Sodexo, Elior, Aramark and Caterlink (independent not-for-profit, first-party to the study)",https://www.carbontrust.com/our-work-and-impact/guides-reports-and-tools/industrial-energy-efficiency-contract-catering-sector,carbontrust.com
CASE-0045-S01,CASE-0045,INIT-0045,1,"Source: CIBSE Journal, 'The winning formula of CIBSE award-winner EndoTherm' (professional-institution journal, third-party editorial; carries the Energy Saving Trust / Atega matched-control trial)",https://www.cibsejournal.com/general/a-winning-formula-cibse-product-of-the-year-endotherm/,cibsejournal.com
CASE-0045-S02,CASE-0045,INIT-0045,2,"Fuller, Smith & Turner P.L.C., Journey to Net Zero (official, first-party; confirmed live August 2026)",https://www.fullers.co.uk/corporate/sustainability/planet/journey-to-net-zero,fullers.co.uk
CASE-0046-S01,CASE-0046,INIT-0046,1,"Sources: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)",https://cdn.whitbread.co.uk/media/2026/05/Whitbread-PLC-Sustainability-Report-2025_26.pdf,cdn.whitbread.co.uk
CASE-0046-S02,CASE-0046,INIT-0046,2,"Whitbread PLC, ESG Report 2024/25 (official, first-party; source of the 759-room and 70%-of-Scope-1 figures)",https://cdn.whitbread.co.uk/media/2025/05/Whitbread-PLC-Environmental-Social-and-Governance-Report-2024-25.pdf,cdn.whitbread.co.uk
CASE-0046-S03,CASE-0046,INIT-0046,3,"Source: Mitchells & Butlers plc, Annual Report 2025 and Respect for the Planet (official, first-party)",https://www.mbplc.com/investors/reports-results/,mbplc.com
CASE-0046-S04,CASE-0046,INIT-0046,4,,https://www.mbplc.com/sustainability/respect-for-the-planet/,mbplc.com
CASE-0047-S01,CASE-0047,INIT-0047,1,"Source: Punch Pubs & Co, Sustainability: Planet (official, first-party)",https://www.punchpubs.com/sustainability/planet/,punchpubs.com
CASE-0047-S02,CASE-0047,INIT-0047,2,"Sources: KBR Energy Saver, Greene King case study, 6 September 2024 (supplier-published, independently monitored and verified by British Independent Utilities across a 27-site pilot)",https://kbrenergysaver.com/2024/09/06/greene-king/,kbrenergysaver.com
CASE-0047-S03,CASE-0047,INIT-0047,3,"British Beer and Pub Association, Energy Saving: Cellar guidance (trade association)",https://mypubsupport.co.uk/public/CJRow2kLo4dgcsrMLDeHkIsV8kUPXrn8/BBPA_Energy+Saving_Cellar.pdf,mypubsupport.co.uk
CASE-0048-S01,CASE-0048,INIT-0048,1,"Source: Mitchells & Butlers plc, Respect for the Planet, and Annual Report 2025 (official, first-party)",https://www.mbplc.com/sustainability/respect-for-the-planet/,mbplc.com
CASE-0048-S02,CASE-0048,INIT-0048,2,,https://www.mbplc.com/investors/reports-results/,mbplc.com
CASE-0048-S03,CASE-0048,INIT-0048,3,"Sources: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)",https://cdn.whitbread.co.uk/media/2026/05/Whitbread-PLC-Sustainability-Report-2025_26.pdf,cdn.whitbread.co.uk
CASE-0048-S04,CASE-0048,INIT-0048,4,"Whitbread PLC, ESG Report 2024/25 (official, first-party; source of the 1,500-room March 2025 comparative)",https://cdn.whitbread.co.uk/media/2025/05/Whitbread-PLC-Environmental-Social-and-Governance-Report-2024-25.pdf,cdn.whitbread.co.uk
CASE-0048-S05,CASE-0048,INIT-0048,5,"Sources: Compass Group UK & Ireland, 'Our Planet Promise', February 2026 (official, first-party)",https://www.compass-group.co.uk/media/1bcfrzax/compass-group-uki-our-planet-promise-feb-2026.pdf,compass-group.co.uk
CASE-0048-S06,CASE-0048,INIT-0048,6,"Compass Group PLC, Sustainability Performance & Reports, including reporting methodology (official, first-party; confirms client kitchen energy is reported under Scope 3 category 3.11, use of sold products)",https://www.compass-group.com/en/sustainability/performance-and-reports.html,compass-group.com
CASE-0049-S01,CASE-0049,INIT-0049,1,"Source: The Morning Advertiser, 'Marston's installs solar at 120 pubs to secure energy prices', 12 May 2025 (trade press reporting a company announcement, third-party)",https://www.morningadvertiser.co.uk/Article/2025/05/12/marstons-installs-solar-at-120-pubs-to-secure-energy-prices/,morningadvertiser.co.uk
CASE-0049-S02,CASE-0049,INIT-0049,2,"Sources: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)",https://cdn.whitbread.co.uk/media/2026/05/Whitbread-PLC-Sustainability-Report-2025_26.pdf,cdn.whitbread.co.uk
CASE-0050-S01,CASE-0050,INIT-0050,1,"Source: Post-evaluation on energy saving reconstruction for hotel buildings, a case study in Jiangsu, China - Energy and Buildings (peer-reviewed academic, independent; non-UK climate zone)",https://www.sciencedirect.com/science/article/abs/pii/S0378778821006009,sciencedirect.com
CASE-0050-S02,CASE-0050,INIT-0050,2,"Sources: Whitbread PLC, Sustainability Report 2025/26, published 29 April 2026 (official, first-party, dated)",https://cdn.whitbread.co.uk/media/2026/05/Whitbread-PLC-Sustainability-Report-2025_26.pdf,cdn.whitbread.co.uk
CASE-0050-S03,CASE-0050,INIT-0050,3,"Stock-scale scenario analysis of retrofit impacts on operational energy demand and carbon emissions in hotels across England and Wales (peer-reviewed academic, independent; UK-specific but modelled, not measured)",https://www.sciencedirect.com/science/article/pii/S0360132326006281,sciencedirect.com
CASE-0050-S04,CASE-0050,INIT-0050,4,"Effects of fabric retrofit insulation in a UK high-rise social housing building on temperature take-back - Building and Environment (peer-reviewed academic, independent; residential, but the best UK evidence on comfort take-back)",https://www.sciencedirect.com/science/article/abs/pii/S037877881734094X,sciencedirect.com
CASE-0050-S05,CASE-0050,INIT-0050,5,"Retrofitting a Grade II Listed Building for Operational Carbon Reduction and Climate Resilience: Inland Revenue Centre, Nottingham - Architecture (peer-reviewed academic, independent; office building, heritage-relevant)",https://doi.org/10.3390/architecture6020071,doi.org
CASE-0051-S01,CASE-0051,INIT-0051,1,"Source: DECC (UK Department of Energy & Climate Change), 'Energy & Emissions Reduction: Case Studies', July 2012 (official, first-party UK government publication)",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/185066/energy_and_emissions_reduction_case_studies.pdf,assets.publishing.service.gov.uk
CASE-0051-S02,CASE-0051,INIT-0051,2,"Source: Punch Pubs & Co, Sustainability: Planet (official, first-party; confirmed live August 2026, claims verified against page text)",https://www.punchpubs.com/sustainability/planet/,punchpubs.com
CASE-0051-S03,CASE-0051,INIT-0051,3,"One Source: Stonegate Group, FY25 circular economy and sustainability release (official, first-party; confirmed live August 2026)",https://www.stonegategroup.co.uk/press/uks-largest-pub-company-removes-over-90000-single-use-bottles-from-its-waste-stream-as-part-of-circular-economy-drive/,stonegategroup.co.uk
CASE-0051-S04,CASE-0051,INIT-0051,4,"Sources: Sodexo UK & Ireland, 'Five ways we're supporting clients to reduce carbon' (official, first-party; kitchen sensor technology)",https://uk.sodexo.com/inspired-thinking/insights/5-ways-were-supporting-clients-t-1.html,uk.sodexo.com
CASE-0051-S05,CASE-0051,INIT-0051,5,"Sodexo UK & Ireland, net zero progress report release, 2026 (official, first-party; smarter energy management and asset optimisation)",https://uk.sodexo.com/newsroom/2026/sodexo-net-zero-progress-report,uk.sodexo.com
CASE-0051-S06,CASE-0051,INIT-0051,6,"Compass Group, 'Climate Net Zero 2050' (official, first-party; Compass Group Denmark sustainability dashboard, 50 clients)",https://www.compass-group.com/en/sustainability/planet/climate-net-zero-2050.html,compass-group.com
CASE-0052-S01,CASE-0052,INIT-0052,1,"Source: The Morning Advertiser, 'Marston's installs solar at 120 pubs to secure energy prices', 12 May 2025 (trade press reporting a company announcement, third-party)",https://www.morningadvertiser.co.uk/Article/2025/05/12/marstons-installs-solar-at-120-pubs-to-secure-energy-prices/,morningadvertiser.co.uk
CASE-0052-S02,CASE-0052,INIT-0052,2,"Sources: St Austell Brewery, 'Brewery puts future first with installation of extra 600 solar panels' (official, first-party company blog; Zero Carbon Forum member)",https://staustellbrewery.co.uk/about-us/our-blog/brewery-puts-future-first-with-installation-of-extra-600-solar-panels,staustellbrewery.co.uk
CASE-0052-S03,CASE-0052,INIT-0052,3,"ZLC Energy, St Austell Brewery case study (installer/supplier, St Austell's solar contractor since 2012; 600 kWp, 600,000 kWh/yr, 20% annual ROI)",https://zlcenergy.co.uk/renewable-energy-experts/case-studies/st-austell-brewery-distribution-centre/,zlcenergy.co.uk
CASE-0052-S04,CASE-0052,INIT-0052,4,"Sources: McDonald's UK, 'Market Drayton' - Our Plan for Change (official, first-party; over 110 sqm solar plus two wind turbines)",https://www.mcdonalds.com/gb/en-gb/our-plan-for-change/great-restaurants/market-drayton.html,mcdonalds.com
CASE-0052-S05,CASE-0052,INIT-0052,5,"McDonald's UK, 'UK Net Zero Carbon' newsroom release, 10 December 2021 (official, first-party)",https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
