Topic,Sub-Topic,Category,Initiative,Old Initiatve,Description,Sector Included,Sector not included,Benefits,Evidence,KPI ,KPI Justification,Case Execution,Case Impact
Nature & Resources,Nature & Biodiversity,Biodiversity,Remove,Adopt strategies to promote deforestation-free value chain,"Implementing sourcing, traceability and supplier-management measures to eliminate deforestation and ecosystem conversion from the value chain.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,Remove,Remove,,
Nature & Resources,Nature & Biodiversity,Biodiversity,"Engage at least [X]% of suppliers by spend with a formal biodiversity briefing or requirement, and request a specific response within 90 days",Engage suppliers to adopt biodiversity practices,"Working with suppliers to adopt practices that protect habitats, improve soil and ecosystem health and increase biodiversity.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Mitigates systemic material risk, Preempts costly supplier non-compliance, Aggregates accurate Scope 3 data",Wallmart,"% of suppliers by spend who received a formal requirement, and % who responded with a specific commitment or action",Response rate distinguishes real engagement from sending an email nobody replied to,"Walmart executed this massive supply chain engagement initiative through a centralized digital infrastructure and a collaborative framework
Launched under Project Gigaton, Walmart established a clear, time-bound ""North Star"" goal to eliminate one billion metric tons (a gigaton) of greenhouse gases from its global value chain by 2030
Rather than managing communications manually, Walmart deployed a dedicated online platform called the Sustainability Hub
Walmart focused on co-creating solutions by supplying operational tools, training resources, and agronomic best practices directly to its vendor base
Suppliers were formally engaged across key environmental impact areas, including raw material sourcing, waste reduction, packaging design, and sustainable agricultural practices","Successfully onboarded and engaged more than 2,300 global suppliers, representing over $1 trillion in total sales volume
Collaboratively avoided 230 million metric tons of emissions in a single year (2020)
Walmart successfully captured data from its value chain—the critical area that typically represents 70% or more of a business's total carbon footprint
Transitioning suppliers toward sustainable agriculture and renewable energy insulated Walmart's broader, long-term procurement pipeline from climate and resource scarcity risks"
Nature & Resources,Nature & Biodiversity,Biodiversity,Undertake a TNFD review,Undertake a TNFD review,"Assessing nature-related dependencies, impacts, risks and opportunities using the Taskforce on Nature-related Financial Disclosures approach.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Proactive Regulatory Alignment, Access to Premium ESG Capital, Supply Chain & Operational Resilience, Biodiversity and Habitat Preservation",TNFD,"Binary completion of TNFD assessment across all four pillars (Governance, Strategy, Risk & Impact Management, Metrics & Targets), with disclosure published",TNFD has a defined structure so completion is objectively testable. Publication ensures it influences behaviour,,
Nature & Resources,Nature & Biodiversity,Biodiversity,"Specify a minimum annual investment, a named project or programme, and a verification standard",Invest in protection/restoration of protected areas and green spaces,"Providing funding or direct support for the conservation, restoration and long-term management of protected areas and green spaces.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Asset and Property Protection, Premium Guest Pricing, Eco-Tourism Revenue Growth, Biodiversity Restoration",Soneva Foundation,"£ invested per year in verified conservation or restoration projects, hectares protected or restored, and the verification standard used (Gold Standard, Plan Vivo)","Without a financial figure and independently verified area, this can be satisfied by planting one tree",,
Nature & Resources,Nature & Biodiversity,Biodiversity,Remove,Support biodiversity improvement,"Taking practical actions to protect, restore or enhance habitats and species across operations, sites or the wider value chain.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,Remove,Remove,,
Nature & Resources,Nature & Biodiversity,Supplier Engagement,Support on-farm GHG mitigation and sustainable farming techniques such as regenerative agriculture in your supply chain.,Support on-farm GHG mitigation and sustainable farming techniques such as regenerative agriculture in your supply chain.,"Supporting farms and agricultural suppliers to adopt practices that reduce greenhouse gas emissions and improve soil health, resilience and resource efficiency.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,"Number of farms or agricultural suppliers enrolled in a named support programme, estimated tCO2e reduction per farm per year, and % of total agricultural spend those farms represent",Forces a named programme rather than vague encouragement and the spend-share figure ensures coverage is not trivially small,,
Nature & Resources,Water Management,Water,Complete a water efficiency audit across all kitchen and bathroom fixtures and implement identified measures within 12 months,Explore potential bathroom and kitchen water efficiencies,"Reviewing fixtures, equipment and operating practices in kitchens and bathrooms to identify opportunities to reduce water use without compromising hygiene or service quality.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Lower Utility Bills, Reduced Energy Costs, Rapid Payback PeriodsRapid Payback Periods",Hilton Texas ,"% reduction in water consumption per cover or per site following audit implementation, measured against a pre-audit baseline",The audit-plus-implementation framing creates an objective completion test,"Project partners targeted the 470-guest room facility (built in 1968), focusing directly on sanitary fixtures which account for an average of 30 percent of a hotel's total water consumption
In 2004, the hotel targeted single-pass water cooling by eliminating 22 water-cooled ice machines and replacing them with efficient, air-cooled hardware.
Starting in 2007, the initiative systematically replaced older, inefficient bathroom hardware with independently certified WaterSense labeled or high-efficiency equivalents
Contractors swapped out 525 toilets (shifting from 5.0 gallons per flush to a dual-flush 1.28/0.8 gpf setup), 616 faucet aerators (cutting flow from 2.2 gpm down to 1.5 gpm), and 479 showerheads (reducing flow from 2.5 gpm to 1.5 gpm)
SAWS structured the project execution using rebate incentives and direct programmatic cost absorption, covering the $110,000 upgrade cost.","Combined utility upgrades generated $160,000 in total savings per year across water, sewer, and energy expenses
Cut water and sewer bills by $80,000 annually
Lowered facility energy bills by $80,000 per year by avoiding 480,000 kilowatt-hours of electricity required to heat and pump water
Reduced total water consumption by 49 percent, saving 26 million gallons (or 80 acre-feet) of water per year
Successfully lowered the hotel's operational water intensity from an average of 209 gallons per room down to 107 gallons
The total capital expenditure of $110,000 yielded a net payback period of less than two years"
Nature & Resources,Water Management,Water,"Complete a formal water risk assessment for all owned sites and top 10 suppliers by spend, with a mitigation plan for each identified risk",Ensure water resilience by managing internal and supplier risks.,"Identifying and managing water-related risks within the organisation and its supply chain to improve resilience to scarcity, disruption, quality issues and regulatory change.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Prevents supply shocks, Mitigates regulatory fines, Protects future capital, Reduces downstream pollution, Promotes water circularity, Preserves wetland biodiversity",InterContinental Hotels Group,"Number of water-related risks formally documented in a risk register, and % with a defined mitigation plan and named owner","A risk register with named owners is an auditable object. Without it this initiative can be satisfied by saying ""we thought about it""","Advanced Digital Mapping: IHG partnered with external consultants to map water variables for all open and future pipeline properties using international standards, specifically the World Resources Institute (WRI) Aqueduct Water Risk Atlas.Granular Basin Profiling: The assessment isolated location-specific metrics, including baseline water stress, water depletion trends, drought risk, and coastal or riverine flood frequencies to identify which minor and major water basins properties rely upon.Value Chain Scaling: The operational boundary was extended beyond direct operations (owned and managed properties) to run identical risk screenings across their entire franchised estate (value chain partners).Long-Term Scenario Planning: Operational teams aligned data choices with IPCC Climate Change Projections and TCFD recommendations, looking out more than 6 years (projecting to 2050 horizons) to evaluate the long-term materiality of water risks under 1.5°C climate scenarios.Supplier Accountability Integration: Interventions were embedded directly into procurement workflows, requiring corporate and managed hotel vendors to pass a Sustainable Supplier Questionnaire and adhere to a strict Supplier Code of Conduct covering water stewardship, benchmarking, and circular technologies.","Onboarded hotels successfully achieved a 13.4% absolute reduction in their total water footprint compared to the 2019 project baseline
Implementing targeted water-efficiency green solutions across properties drove an average water consumption reduction of 21% per occupied room
In the immediate reporting cycle, properties further optimised their infrastructure to drop per-room-night water consumption by 7.9% year-on-year
Leveraging risk insights through IHG's online sustainability platform enabled the global estate to avoid $7.3 million in direct water utility costs in a single year (part of a broader $66.6 million total utilities cost avoidance)
Funding and risk-prioritised interventions rolled out via NGO partnerships successfully reached and provided 15,000 people across high-risk countries (India, Indonesia, and Mexico) with clean water and sanitation access
Expanded formal supplier alignment significantly, growing the volume of verified vendors bound by the Supplier Code of Conduct from 4,623 up to 5,523 signed suppliers"
Nature & Resources,Water Management,Water,Install a filtered water system to avoid bottled water.,Install a filtered water system to avoid bottled water.,Installing a mains-fed filtration system to provide drinking water on site and reduce reliance on single-use bottled water.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Lowers procurement costs, Reduces waste management fees, Prevents plastic pollution, Shrinks carbon footprint",Eco Pure Waters,"% of sites with a mains-fed filtration system installed, and estimated number of single-use plastic bottles avoided per year per site",The bottle-avoidance figure makes the environmental outcome visible not just the infrastructure investment,"Venues installed on-site commercial filtration hardware (such as Blu Glass systems, countertop units, and corridor self-serve stations) tailored to high-traffic areas like dining rooms, guest suites, spas, and lounges.
Large-scale hotels (like the Crowne Plaza Kings Cross) integrated a heavy-duty Quattro Filler upgrade, allowing hospitality staff to fill four bottles simultaneously to save time during room preparation.
Operations eliminated single-use waste by provisioning custom-designed, reusable glass containers (such as Felix and Franklin bottles) paired with reusable or tamper-evident closures.
Staff integrated washing, sanitisation, and on-site refilling into standard daily cleaning and catering workflows, completely bypassing the traditional commercial beverage supply chain
","Grantley Hall (47 rooms, 5 eateries): Eliminates over 160,000 single-use bottles annually, avoiding approximately 47 tonnes of CO2 and securing £119,000 in annual savings (an 80% cost reduction per bottle)
Marriott Regents Park (304 rooms & suites): Eradicates 141,000 single-use bottles per year, cutting carbon by 40 tonnes of CO2 and dropping procurement costs by £104,000 annually (an 80% cost reduction per bottle)"
Nature & Resources,Water Management,Water,Recycle rainwater and grey water,Recycle rainwater and grey water,"Collecting and treating rainwater or lightly contaminated grey water for suitable non-potable uses such as toilet flushing, irrigation or cleaning.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Slashes water supply costs, Lowers sewage and drainage fees, Preserves pristine freshwate, Recharges local aquifers",Abu Dhabi Premier Inn,"Volume of rainwater or grey water harvested and reused per year in m³, and the % of total site water demand that volume represents",A small harvesting system in a high-consumption venue might cover 0.5% of demand and be barely worth the cost. The denominator keeps the initiative honest,"The engineering network isolates and collects relatively low-pollutant wastewater exclusively from bathing and showering across all 300 guest rooms.
Harvested greywater passes through an advanced ultrafiltration membrane system to mechanically trap impurities, organic compounds, and microorganisms
Once processed to non-potable standards, the water is fed back into a separated plumbing loop to meet structural facility demands
The recycled water is completely redirected to handle two specific high-volume, non-drinkable demands: restroom toilet flushing and landscape irrigation","The facility successfully recycles and saves an average of 735,000 litres of water per month
The intervention reduced the property’s total baseline monthly water consumption by 24%
Successfully reduced total incoming water usage by an equivalent of 60 litres per hotel guest
 Reached an operational milestone where 100% of the toilets across the public and room restrooms operate entirely on recycled greywater"
Nature & Resources,Water Management,Water,Procure water sustainably.,Procure water sustainably.,"Purchasing water and water-related services in a way that considers local scarcity, environmental impact, efficiency and long-term resilience.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Guarantees Business Continuity, Unlocks Green Capital, Eliminates Regulatory Fines, Relieves High-Stress Catchments, mproves Shared Water Security, Drives Upstream Efficiency",Accor Group,Remove,Remove,,
Nature & Resources,Water Management,Water,Self-supply water direct from the wholesale water market,Self-supply water direct from the wholesale water market,"Buying water directly from the competitive wholesale market rather than solely through the default retail supplier, where regulation permits.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Eradicates Retail Profit Margins, Direct Data and Metering Control, Consolidated Multi-Site Billing, Data-Driven Water Stewardship, Incentivizes Infrastructure Efficiency",Multi Operator Joint Savings,"Binary (wholesale contract in place), % reduction in water unit cost versus previous retail tariff, and confirmation of improved consumption data access from the arrangement",This is primarily a commercial and data-access play. Without tracking cost and data quality it risks being counted as a sustainability action when the driver is cost reduction,"Regulatory Licensing
Direct Wholesaler Partnerships
The business assumes in-house accountability for tasks typically handled by an external seller, including customer queries, automated meter reading (AMR) scheduling, and market settlement reconciliation
Advanced logging hardware and smart telemetry are deployed across all physical property meters to secure clean, real-time consumption feedback loops","Companies bypass third-party retail markups entirely, unlocking direct access to the protected baseline wholesale price guaranteed to commercial suppliers
Strategic self-suppliers achieved an aggregate drop of 567Mn litres of water saved in a single year cycle, representing an immediate 5% reduction in total baseline consumption
Data-driven leak fixes and water audits triggered by direct market visibility typically yield an extra 2% to 5% cost incentive purely from optimized consumption drops"
Nature & Resources,Water Management,Water,Complete supply chain water mapping covering top 5 commodities by estimated water use,"Understand your water footprint across your supply chain & introduce policies to reduce water consumption, particularly in water stressed regions","Assessing water use and water-related impacts across the supply chain and establishing policies to reduce consumption, especially in water-stressed locations.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Prevents Commodity Cost Shocks, Ensures Regulatory Compliance, Enhances Scope 3 Risk Disclosure, Reduces Virtual Water Footprint, Drives Upstream Circularity",Accor Group,% of total food and ingredient spend mapped for water intensity,,"Life Cycle Sourcing Assessments
High-Risk Portfolio Segmentation
Commodity categories were split into a three-tier risk index (standard, at risk, and high risk) based on raw volume, social/environmental criteria, customer-facing risk, and Accor’s direct market influence
Third-Party Evaluation Standardisation
Suppliers are legally required to sign the Procurement Charter 21 during onboarding. This contractually binds them to introduce low-flow plumbing components or ecological, non-polluting chemistry (such as ozone washing technologies)
Targeted Supplier Auditin","The tracking project successfully identified that 68% of Accor's total global water footprint is concentrated entirely within its Scope 3 value chain
Mapping isolated that the procurement of food items for hotel bars and restaurants accounts for around 46% of that total footprint, pinpointing crop irrigation and livestock watering as major critical vulnerabilities
Achieved a milestone where 100% of nominated suppliers successfully signed the Procurement Charter 21
Evaluated and mapped 97% of all high-risk and at-risk purchasing categories via EcoVadis, capturing data across 85% of total corresponding vendors
Completed formal, independent SMETA water audits for 449 high-risk suppliers, representing 92% of the high-risk vendor base
successfully prevented 657,367 meals from being wasted, indirectly saving the upstream virtual water used to grow them and avoiding 1,643 metric tons of CO2"
Nature & Resources,Water Management,Water,Publish a water reduction policy with targets for water-stressed regions,"Understand your water footprint across your supply chain & introduce policies to reduce water consumption, particularly in water stressed regions","Assessing water use and water-related impacts across the supply chain and establishing policies to reduce consumption, especially in water-stressed locations.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,"Policy published with named targets for water-stressed regions, named owner, annual review date",,,
Nature & Resources,Water Management,Water,Use high-efficiency shower and faucet aerators,Use high-efficiency shower and faucet aerators,Installing high-efficiency showerheads and tap aerators that reduce water flow while maintaining acceptable user experience.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Dual Utility Savings, Ultra-Fast Capital Payback, Decreased Infrastructure Strain, Preserves Asset Valuation, Substantial Resource Conservation, Eases Wastewater Municipal Strains",Oxmaint,"% of guest-room showers and faucets fitted with certified high-efficiency aerators, and % reduction in water flow rate in litres per minute versus pre-installation baseline",Flow rate reduction is objectively measurable and independent of occupancy fluctuations,"Engineers walk every floor using a physical flow-bag kit. They log the current Gallons Per Minute (GPM) of every fixture into the CMMS asset register and gather 12 months of utility meter history to establish a clean baseline
Maintenance teams replace standard bathroom faucet aerators (typically 1.5–2.2 GPM) with ultra-efficient 0.5 GPM units across all guest rooms
Standard showerheads (2.5–3.0 GPM) are swapped out for 1.75–2.2 GPM EPA WaterSense-labeled units. Technicians check physical water pressure during installation to ensure guest spray perception is unchanged, logging the installation as a formal work order against the room asset
Teams install low-cost dual-flush valves or flappers to reduce high-volume toilet flushes down to a 1.1/1.6 gallon configuration
Engineers pull hourly sub-meter data to run a 14-day normalized comparison against the week 1 baseline, confirming the structural drop in consumption
Rather than allowing savings to fade, the CMMS auto-assigns quarterly flow audits across a randomized 20% sample of rooms. Any fixture exceeding 110% of its rated specification immediately triggers a corrective work order to address clogs or drift","Properties achieve an immediate 20% to 40% reduction in total water consumption within the first 12 months
Swapping to a 0.5 GPM faucet aerator costs just $1.40 in materials per room. It saves $36 annually, yielding a full capital payback period of just 2 weeks
Installing a 1.75 GPM showerhead costs $18.00 per room. It yields $58 in annual savings, paying for itself in 4 months
Swapping out a 1.5 GPM aerator cuts water use by 0.7 GPM. Based on 12 minutes of daily use at 72% occupancy, a single 180-room property saves 370,000 gallons of water annually on faucets alone
For a typical 150-room property, a comprehensive fixture retrofit delivers a full capital payback in under 15 months
A 240-room full-service resort utilizing this exact workflow cut water consumption by 34%, dropping its annual water utility bill from $185,000 down to $122,000"
Nature & Resources,Water Management,Water,Remove,"Introduce policies to reduce water consumption, particularly in water stressed regions","Establishing formal policies and targets to reduce direct and supply-chain water use, particularly in water-stressed regions.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,Remove,Remove,,
Nature & Resources,Water Management,Brewing,Optimise hot liquor use,Optimise hot liquor use,"Reducing unnecessary hot-liquor production and losses through improved measurement, scheduling, recovery and process control.","Brewries, Pubs/Bars (partial)","Restaurant, QSR, Contract Caterers, Hotels, Experiential Leisure","Slashes Heating Fuel and Energy Bills, Accelerates Production Cycle Efficiency, Reduces Direct Wastewater Utility Levies, Lowers Boiler Upkeep Costs, Cuts Scope 1 and 2 Thermal Emissions, Prevents Thermal Pollution in Local Biomes, Promotes Closed-Loop Water Circularity",9White Beer,"Litres of hot liquor used per hectolitre of beer produced, measured monthly against a defined baseline year",Per-hectolitre normalisation separates genuine efficiency improvement from production volume changes,"The brewery installed a large 3,000-litre insulated hot liquor tank to store and maintain water at optimal brewing temperatures, preventing heat dissipation.
Upgraded engineering heat exchangers were integrated directly into the brewing line. This allows the system to recapture heat from hot wort during the cooling phase and transfer it back to pre-heat incoming cold brewing water.
he brewery overhauled its chilled water infrastructure to fine-tune temperature control, reducing the raw energy required to cool down process fluids
hermal processes were synchronized with an on-site 30 kWp rooftop solar PV array and smart energy management tools. This configuration enables the team to shift energy-intensive hot liquor heating cycles to times of peak solar generation","Transitioning to index-linked wholesale electricity paired with smart thermal load shifting reduced energy costs by 40%
The integrated rooftop solar array successfully supplies roughly 36% of the brewery's annual electricity use, generating up to 180 kWh per day during the summer
The thermodynamic integration of the upgraded heat exchangers and the 3,000L tank immediately maximized solar energy use and reduced raw water consumption per litre of beer produced"
Nature & Resources,Water Management,Brewing,Optimise CIP wash temperature,Optimise CIP wash temperature,Optimising cleaning-in-place wash temperatures to use no more heat than required for effective hygiene and product safety.,"Brewries, Pubs/Bars (partial)","Restaurant, QSR, Contract Caterers, Hotels, Experiential Leisure","Slashes Thermal Energy Bill, Accelerates Uptime and Turnaround, Extends Asset and Pipe Lifespan, Cuts Direct Carbon Footprint, Prevents Thermal Runoff Pollution, Supports Onsite Water Circularity",CIP,"Average CIP wash temperature in °C tracked monthly, energy consumption per CIP cycle in kWh, and water volume per CIP cycle in litres — all against a baseline","CIP optimisation simultaneously affects temperature, energy, and water. Tracking only one risks improving one at the expense of another",,
Nature & Resources,Water Management,Brewing,Reduce water temp in laundry; and line dry linens where possible,Reduce water temp in laundry; and line dry linens where possible,Lowering laundry wash temperatures where hygiene standards allow and using line drying instead of mechanical drying where practical.,"Hotels, Pubs/Bars (partial), Experiential Leisure (partial)","Restaurant, QSR, Contract Caterers, Brewries","Slashes Thermal Energy Bills, Eliminates Dryer Energy Overhead, Extends Linen and Textile Lifespan, Brings down GHGs, Eliminates Localized Heat Waste",Apple Farm Inn,"Average laundry wash temperature in °C, % of eligible loads line-dried versus machine-dried, and kWh per kg of laundry processed",The energy-intensity figure captures the combined impact of both temperature reduction and drying method without being confused by changes in total laundry volume,"On-site hardware utilizes electrical currents to safely convert ambient oxygen into ozone gas
The generated ozone is automatically dissolved and diffused into the incoming cold water supply lines connected to the commercial washing machines.
Because ozone acts as a highly potent oxidizing agent, it rapidly destroys bacteria, viruses, and organic soils in cold water—completely eliminating the historic operational mandate to wash sheets and towels at high temperatures (130°F–140°F+)
The natural chemical efficiency of ozone allows engineers to replace traditional multi-step hot wash profiles with a shortened, ambient-temperature washing program
Ozone naturally relaxes fabric fibers during the wash wheel cycle. This maximizes moisture extraction during the final spin cycle, lowering the residual moisture retention of the linens before they enter the drying or air-line phase.","The hotel successfully reduced its overarching laundry operational costs by 40%
Swapping to cold-water laundering slashed elevated-temperature water requirements by 37 gallons (a 27% drop) per wash load, immediately lowering natural gas and electrical utility bills
The optimized rinse cycles reduced overall water consumption by 22 gallons per single wash load
The compressed cycle profiles stripped a verified 11 minutes out of total laundering time per load
The enhanced oxidation properties of ozone enabled a 21% reduction in total laundry chemicals (saving 1.6 ounces of detergent and bleach per load)"
