Gap_ID,Initiative_ID,Initiative_Name,Factor_ID,Card_ID,Topic,Sub_Topic,Gap_Type,Calculation_Readiness,Gap_Status,Gap_Note
GAP-0085,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CCF-0032,CARD-0125,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0086,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CCF-0032,CARD-0125,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0087,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CCF-0032,CARD-0125,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0088,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CPF-0032,CARD-0126,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0089,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CPF-0032,CARD-0126,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0090,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CPF-0032,CARD-0126,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0091,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CTF-0032,CARD-0127,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0092,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CTF-0032,CARD-0127,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0093,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,CTF-0032,CARD-0127,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0094,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CCF-0033,CARD-0129,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0095,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CCF-0033,CARD-0129,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0096,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CCF-0033,CARD-0129,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0097,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CPF-0033,CARD-0130,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0098,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CPF-0033,CARD-0130,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0099,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CPF-0033,CARD-0130,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0100,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CTF-0033,CARD-0131,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0101,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CTF-0033,CARD-0131,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0102,INIT-0033,Apply environmental-performance criteria when selecting leased sites,CTF-0033,CARD-0131,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0103,INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,CCF-0034,CARD-0133,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0104,INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,CCF-0034,CARD-0133,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0105,INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,CCF-0034,CARD-0133,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0106,INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,CPF-0034,CARD-0134,Energy & Buildings,"Leased, Tenanted & Franchised Sites",MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
