Initiative_ID,Initiative_Name,Topic,Sub_Topic,Cost_Factor_ID,Carbon_Factor_ID,Timing_Factor_ID,Efficiency_Factor_ID,Filled_Value_Slots,Empty_Value_Slots,Slots_With_Method,Slots_With_Evidence,Has_Case,Calculation_Readiness,Gap_Note
INIT-0043,Upgrade to LED lighting with optimised design and controls,Energy & Buildings,Energy Management,CCF-0043,CPF-0043,CTF-0043,CEF-0043,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0044,Install heat/energy recovery ventilation units,Energy & Buildings,Energy Management,CCF-0044,CPF-0044,CTF-0044,CEF-0044,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0045,Deploy gas boiler additives,Energy & Buildings,Energy Management,CCF-0045,CPF-0045,CTF-0045,CEF-0045,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0046,Install air or ground source heat pumps,Energy & Buildings,Energy Procurement & Renewables,CCF-0046,CPF-0046,CTF-0046,CEF-0046,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0047,Utilise cellar cooling across estates,Energy & Buildings,Energy Management,CCF-0047,CPF-0047,CTF-0047,CEF-0047,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0048,Replace gas-fired heating and catering equipment with electric alternatives,Energy & Buildings,Energy Management,CCF-0048,CPF-0048,CTF-0048,CEF-0048,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0049,Invest in energy-efficiency and renewables infrastructure,Energy & Buildings,Energy Procurement & Renewables,CCF-0049,CPF-0049,CTF-0049,CEF-0049,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0050,"Upgrade building-fabric thermal performance (insulation, glazing, draught-proofing)",Energy & Buildings,Energy Management,CCF-0050,CPF-0050,CTF-0050,CEF-0050,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0051,Install smart sub-metering and a building management system (BMS),Energy & Buildings,Energy Management,CCF-0051,CPF-0051,CTF-0051,CEF-0051,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0052,Install on-site solar PV,Energy & Buildings,Energy Procurement & Renewables,CCF-0052,CPF-0052,CTF-0052,CEF-0052,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0053,Install voltage optimisation equipment,Energy & Buildings,Energy Management,CCF-0053,CPF-0053,CTF-0053,CEF-0053,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0054,Procure renewable electricity via PPAs or green tariffs,Energy & Buildings,Energy Procurement & Renewables,CCF-0054,CPF-0054,CTF-0054,CEF-0054,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0055,Enroll sites in demand-side response and flexibility schemes,Energy & Buildings,Energy Procurement & Renewables,CCF-0055,CPF-0055,CTF-0055,CEF-0055,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0056,Run staff energy-engagement programmes,Energy & Buildings,Energy Management,CCF-0056,CPF-0056,CTF-0056,CEF-0056,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0057,Optimise heating controls,Energy & Buildings,Energy Management,CCF-0057,CPF-0057,CTF-0057,CEF-0057,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0058,Improve building EPC ratings to B or above,Energy & Buildings,Energy Management,CCF-0058,CPF-0058,CTF-0058,CEF-0058,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0059,Connect sites to low-carbon heat networks or solar thermal,Energy & Buildings,Energy Procurement & Renewables,CCF-0059,CPF-0059,CTF-0059,CEF-0059,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0060,Procure certified green gas or biomethane,Energy & Buildings,Energy Procurement & Renewables,CCF-0060,CPF-0060,CTF-0060,CEF-0060,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0061,Certify sites to ISO 50001 energy management,Energy & Buildings,Energy Management,CCF-0061,CPF-0061,CTF-0061,CEF-0061,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0062,Install power factor correction,Energy & Buildings,Energy Management,CCF-0062,CPF-0062,CTF-0062,CEF-0062,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0063,Build to BREEAM 'Very Good' or above,Energy & Buildings,Energy Management,CCF-0063,CPF-0063,CTF-0063,CEF-0063,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0064,Allocate responsibility at Board level,Governance,General,CCF-0064,CPF-0064,CTF-0064,CEF-0064,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0065,Appoint a sustainability lead or assign executive responsibility for sustainability,Governance,General,CCF-0065,CPF-0065,CTF-0065,CEF-0065,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0066,Establish a Sustainability Committee,Governance,General,CCF-0066,CPF-0066,CTF-0066,CEF-0066,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0067,Link executive remuneration to sustainability and climate performance,Governance,General,CCF-0067,CPF-0067,CTF-0067,CEF-0067,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0068,Engage your shareholders around climate risks and opportunities,Governance,General,CCF-0068,CPF-0068,CTF-0068,CEF-0068,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0069,Regularly review sustainability performance at senior management and Board level.,Governance,General,CCF-0069,CPF-0069,CTF-0069,CEF-0069,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0070,Develop a sustainability strategy informed by a double materiality assessment.,Governance,Strategy,CCF-0070,CPF-0070,CTF-0070,CEF-0070,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0071,Calculate your baseline GHG footprint.,Governance,Strategy,CCF-0071,CPF-0071,CTF-0071,CEF-0071,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0072,Use the TCFD framework to review and disclose your climate-related risks and opportunities.,Governance,Strategy,CCF-0072,CPF-0072,CTF-0072,CEF-0072,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0073,Develop a Net Zero Strategy.,Governance,Strategy,CCF-0073,CPF-0073,CTF-0073,CEF-0073,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0074,Set a Net Zero target.,Governance,Strategy,CCF-0074,CPF-0074,CTF-0074,CEF-0074,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0075,Validate targets through SBTi.,Governance,Strategy,CCF-0075,CPF-0075,CTF-0075,CEF-0075,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0076,Integrate sustainability objectives and KPIs into business planning.,Governance,Strategy,CCF-0076,CPF-0076,CTF-0076,CEF-0076,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0077,Develop a long-term decarbonisation funding plan.,Governance,Strategy,CCF-0077,CPF-0077,CTF-0077,CEF-0077,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0078,"Explore external grants, funding and incentives.",Governance,Strategy,CCF-0078,CPF-0078,CTF-0078,CEF-0078,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0079,Develop a carbon removals strategy and quality criteria.,Governance,Strategy,CCF-0079,CPF-0079,CTF-0079,CEF-0079,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0080,Involve your guests in sustainability initiatives- offer discounts for opting out of daily cleaning of the room-- ask them to give feedback on your activities,Governance,Strategy,CCF-0080,CPF-0080,CTF-0080,CEF-0080,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0081,"Provide sustainability training for your leadership team, operations and functional central support teams.",Governance,Staff,CCF-0081,CPF-0081,CTF-0081,CEF-0081,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0082,Offer a sustainable pension to employees (Ideally make it the default choice),Governance,Staff,CCF-0082,CPF-0082,CTF-0082,CEF-0082,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0083,Understand employee sustainability expectations and strengthen engagement,Governance,Staff,CCF-0083,CPF-0083,CTF-0083,CEF-0083,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0084,Embed sustainability into employee roles and responsibilities,Governance,Staff,CCF-0084,CPF-0084,CTF-0084,CEF-0084,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0085,Recognizing and rewarding employees for their contributions to sustainability efforts can boost morale and motivation,Governance,Staff,CCF-0085,CPF-0085,CTF-0085,CEF-0085,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0086,Develop and maintain a Climate Transition Plan.,Governance,Regulation,CCF-0086,CPF-0086,CTF-0086,CEF-0086,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0087,"Disclose climate-related information using recognised reporting frameworks (e.g. UK SRS, IFRS S2 and TCFD).",Governance,Regulation,CCF-0087,CPF-0087,CTF-0087,CEF-0087,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0088,"Ensure compliance with applicable environmental legislation and reporting requirements (e.g. SECR, ESOS, Simpler Recycling, EPR and the Green Claims Code, where applicable).",Governance,Regulation,CCF-0088,CPF-0088,CTF-0088,CEF-0088,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0089,Implement an Environmental Management System (e.g. ISO 14001).,Governance,Regulation,CCF-0089,CPF-0089,CTF-0089,CEF-0089,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0090,"Pursue recognised sustainability certifications and voluntary commitments (e.g. Green Key, Green Tourism, B Corp, Race to Zero or The Climate Pledge)",Governance,Regulation,CCF-0090,CPF-0090,CTF-0090,CEF-0090,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0091,Establish a Management Information System to Track Sustainability KPIs Monthly,Governance,Regulation,CCF-0091,CPF-0091,CTF-0091,CEF-0091,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0092,Reduce the volume and impact of packaging materials used.,Supply Chain,Packaging,CCF-0092,CPF-0092,CTF-0092,CEF-0092,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0093,Collaborate with suppliers to reduce packaging impacts across the supply chain,Supply Chain,Packaging,CCF-0093,CPF-0093,CTF-0093,CEF-0093,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0094,Use dispense or refill systems for drinks rather than single-use packaging,Supply Chain,Packaging,CCF-0094,CPF-0094,CTF-0094,CEF-0094,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0095,Undertake life cycle assessment (LCA) of packaging to understand its full environmental impact,Supply Chain,Packaging,CCF-0095,CPF-0095,CTF-0095,CEF-0095,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0096,Eliminate single-use plastic items from operations,Supply Chain,Packaging,CCF-0096,CPF-0096,CTF-0096,CEF-0096,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0097,Increase recycled content in packaging materials,Supply Chain,Packaging,CCF-0097,CPF-0097,CTF-0097,CEF-0097,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0098,Evaluate equipment purchases based on full life-cycle cost and environmental impact,Supply Chain,Capital Goods,CCF-0098,CPF-0098,CTF-0098,CEF-0098,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0099,Shift from equipment ownership to service or leasing models,Supply Chain,Capital Goods,CCF-0099,CPF-0099,CTF-0099,CEF-0099,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0100,"Prioritise reused, refurbished and responsibly sourced furniture and fittings",Supply Chain,Capital Goods,CCF-0100,CPF-0100,CTF-0100,CEF-0100,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0101,"Extend equipment life and manage WEEE through repair, refurbishment, reuse and responsible recycling",Supply Chain,Capital Goods,CCF-0101,CPF-0101,CTF-0101,CEF-0101,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0102,Set responsible sourcing standards for packaging procurement,Supply Chain,Procurement,CCF-0102,CPF-0102,CTF-0102,CEF-0102,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0103,Procure lower-impact staff uniforms and operational textiles,Supply Chain,procurement,CCF-0103,CPF-0103,CTF-0103,CEF-0103,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0104,Procure environmentally preferable cleaning products,Supply Chain,procurement,CCF-0104,CPF-0104,CTF-0104,CEF-0104,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0105,Reduce office paper use and office consumables,Supply Chain,procurement,CCF-0105,CPF-0105,CTF-0105,CEF-0105,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0106,Measure and reduce emissions from purchased goods and services,Supply Chain,procurement,CCF-0106,CPF-0106,CTF-0106,CEF-0106,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0107,Adopt recognised certifications for key categories,F&B Procurement & Menu design,Procurement,CCF-0107,CPF-0107,CTF-0107,CEF-0107,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0108,Set targets to increase local/regional and seasonal sourcing to reduce transport emissions and support UK producers,F&B Procurement & Menu design,Procurement,CCF-0108,CPF-0108,CTF-0108,CEF-0108,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0109,Pilot new sourcing models with innovative/smaller suppliers to diversify supply and de-risk from commodity volatility,F&B Procurement & Menu design,Procurement,CCF-0109,CPF-0109,CTF-0109,CEF-0109,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0110,Proportion of plant-based dishes on the menu,F&B Procurement & Menu design,Menu Design,CCF-0110,CPF-0110,CTF-0110,CEF-0110,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0111,Procure items sourced from ingredients grown using regenerative practices,F&B Procurement & Menu design,Menu Design,CCF-0111,CPF-0111,CTF-0111,CEF-0111,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
