Requirement_Set_ID,Factor_ID,Card_ID,Initiative_ID,Factor_Bank,Formula_Type,Calculation_Expression,Primary_Output_Metric,Output_Unit_Rule,Scenario_Value_Source,Eligibility_Rule,Coverage_Default,Override_Rule,Missing_Input_Behaviour,Required_Input_Count,Total_Input_Count,Requirement_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Row
CRS-0018,CPF-0005,CARD-0018,INIT-0005,Carbon Factors,DISPLAY_PUBLISHED,"Electricity: 1 kW × 8 hours/day × 365 days = 2,920 kWh/year; 2,920 × 0.13096 kgCO2e/kWh ÷ 1,000 = 0.382 tCO2e/year. Natural gas: 2,920 × 0.18231 kgCO2e/kWh ÷ 1,000 = 0.532 tCO2e/year. The Folly and hotel figures use their reported annual energy reductions; converted carbon values use the same UK factors. Actual savings depend on measured load, duty cycle and avoidable runtime.",Carbon abatement,Normalised electric load: kW switched off for hours/day = kWh/year and tCOe/year; normalised gas input: kWh/year = tCOe/year; The Folly hot water timer benchmark: kWh and approximately tCOe/year; hotel whirlpool blower benchmark: kWh and approximately tCOe/year,PUBLISHED_DISPLAY_VALUE,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,6
CRS-0019,CTF-0005,CARD-0019,INIT-0005,Timing Factors,DISPLAY_PUBLISHED,"Simple payback = installed cost ÷ annual energy-cost saving. The Folly audit summary reports £68 ÷ £18/year = 3.8 years. The hotel guide reports a sub-one-month payback for a 15-minute wind-up timer. These benchmarks should not be applied to other loads without confirming installed cost, tariff, load and avoidable runtime.",Payback,Hotel whirlpool blower run back timer: payback under month; The Folly hot water timer audit summary: cost annual saving and year payback,PUBLISHED_DISPLAY_VALUE,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,6
CRS-0020,CEF-0005,CARD-0020,INIT-0005,Efficiency Factors,DISPLAY_PUBLISHED,Runtime reduction is a direct proxy only for constant loads. Cycling loads require before-and-after metering because energy does not always fall one-for-one with operating hours. The Stonegate and hotel results are equipment-specific direct benchmarks; the kitchen figure is sector guidance; the QSR figures are supplier-reported results from a three-site six-week test and should be treated as indicative rather than additive.,Efficiency,Normalised constant load: ÷ = % runtime reduction; Stonegate Smart Python Timers: further % remote cooler energy reduction; hotel minute run back timer: hours/year or % blower runtime reduction and kWh/year; Hospitality Sector Council guidance: up to % kitchen energy reduction when cooking equipment operates only when required; QSR supplier case: up to % walk in % HVAC and % lighting energy reduction,PUBLISHED_DISPLAY_VALUE,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,6
CRS-0021,CCF-0006,CARD-0021,INIT-0006,Cost Factors,DISPLAY_PUBLISHED,"Inverters: £4,800 ÷ 4 = £1,200/unit
All-in VSD project: (£4,800 + £3,000 + £2,340) = £10,140 ≈ £10,000; £10,000 ÷ 4 = £2,500/pump point
High-efficiency motor: £1,300 ÷ 11 kW = £118.18/kW ≈ £118/kW
DCKV implied investment: £9,041/year × 1.88 years = £16,997.08 ≈ £17,000/site",Cost,VSD: per installed kW inverter; approximately per pump point including controls design and making good ( unit project average) High efficiency motor: per kW IE motor; /kW purchase only ( example) Demand controlled kitchen ventilation: approximately /site inferred from the cited pub saving and payback,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,7
CRS-0022,CPF-0006,CARD-0022,INIT-0006,Carbon Factors,DISPLAY_PUBLISHED,"VSD case: 39,523 kWh/year × 0.13096 ÷ 1,000 = 5.176 tCO2e/year
DCKV case: 36,167 kWh/year × 0.13096 ÷ 1,000 = 4.736 tCO2e/year
High-efficiency motor: 2%–5% × 0.13096 = 0.00262–0.00655 kgCO2e/baseline kWh",Carbon abatement,VSD building pump case: tCOe/year at the UK grid factor DCKV pub case: tCOe/site year at the UK grid factor High efficiency motor: kgCOe avoided per baseline motor kWh,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,7
CRS-0023,CTF-0006,CARD-0023,INIT-0006,Timing Factors,DISPLAY_PUBLISHED,"VSD: £2,900 implementation cost ÷ £3,560 annual electricity saving = 0.815 years = 9.8 months
DCKV: £16,997 implied investment ÷ £9,041 annual saving = 1.88 years",Payback,VSD building pump retrofit: year simple payback (approximately months) Demand controlled kitchen ventilation pub case: year simple payback,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,7
CRS-0024,CEF-0006,CARD-0024,INIT-0006,Efficiency Factors,DISPLAY_PUBLISHED,"The VSD result is measured; ideal variable-torque cross-check = 1−0.84³ = 40.7%, versus 41.8% measured. The high-efficiency-motor range is guidance and depends on existing/replacement efficiency, loading and operating hours. For DCKV, implied baseline fan electricity = 36,167 kWh ÷ 69% = 52,416 kWh/year and implied post-installation use = 16,249 kWh/year; the 50%–60% range is supplier-reported, not guaranteed.",Efficiency,VSD building pump case: % speed reduction → % measured power demand reduction High efficiency motors: % lower energy use Demand controlled kitchen ventilation: % fan energy reduction in the Jack Fairman pub case; % supplier stated typical reduction,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,7
CRS-0025,CCF-0007,CARD-0025,INIT-0007,Cost Factors,DISPLAY_PUBLISHED,">£64,000 ÷ 250 kWth = >£256/kWth
>£64,000 ÷ 943 MWhth/year = >£67.9 per annual MWhth recovered",Cost,Refrigeration condenser heat recovery: > per kWth system; >/kWth; > per annual MWhth recovered ( case) Cooking extract and wastewater heat recovery: supplier quote required,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,8
CRS-0026,CPF-0007,CARD-0026,INIT-0007,Carbon Factors,DISPLAY_PUBLISHED,"Displaced gas = useful recovered heat ÷ boiler efficiency
Case = 943,000 kWhth ÷ 85% = 1,109,412 kWh gas; 1,109,412 × 0.18231 ÷ 1,000 = 202.3 tCO2e/year",Carbon abatement,kgCOe avoided per useful recovered kWhth displacing an % efficient gas boiler; tCOe/year for the MWhth refrigeration case at the UK gas factor,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,8
CRS-0027,CTF-0007,CARD-0027,INIT-0007,Timing Factors,DISPLAY_PUBLISHED,"Gross: >£64,000 ÷ <£22,000/year = >2.9 years
After 30% grant: >£64,000 × 70% ÷ <£22,000/year = >2.0 years; the source reports a two-year payback using unrounded project figures",Payback,Refrigeration heat recovery: > year gross simple payback from rounded case figures; year reported payback after a % grant; general guidance years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,8
CRS-0028,CEF-0007,CARD-0028,INIT-0007,Efficiency Factors,DISPLAY_PUBLISHED,"Refrigeration case equivalent utilisation = 943,000 kWh ÷ 250 kW = 3,772 full-load hours/year. Cooking-extract value is a Hospitality Sector Council simulation; the field-trial result and payback were not published. Wastewater score combines tested heat-recovery efficiency and an installation utilisation factor.",Efficiency,Refrigeration case: MWhth/year recovered from a kWth exchanger Cooking extract heat recovery: MWh/year simulated per restaurant not yet verified Wastewater heat recovery: ETL Heat Recovery Score ≥ horizontal; ≥ vertical/plant room,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,8
CRS-0029,CCF-0008,CARD-0029,INIT-0008,Cost Factors,DISPLAY_PUBLISHED,"NHS implied pre-control annual fuel cost: £9,605 ÷ 7.03% = £136,629",Cost,/year fuel cost saving (NHS); /year energy saving (Leadenhall),PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,9
CRS-0030,CPF-0008,CARD-0030,INIT-0008,Carbon Factors,DISPLAY_PUBLISHED,Reported annual reduction = 180 tCO2/year,Carbon abatement,tCO/year reduction (Leadenhall case),PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,9
CRS-0031,CTF-0008,CARD-0031,INIT-0008,Timing Factors,DISPLAY_PUBLISHED,Reported ROI = 2 years,Payback,years,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,9
CRS-0032,CEF-0008,CARD-0032,INIT-0008,Efficiency Factors,DISPLAY_PUBLISHED,Published before/after reductions = 0.84% / 7.03% / 15.14% / 59.26%,Efficiency,NHS: % gross efficiency improvement; % fuel cost reduction; % emissions reduction; % NOx reduction,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,9
CRS-0033,CCF-0009,CARD-0033,INIT-0009,Cost Factors,DISPLAY_PUBLISHED,"£1,453 = 1,940 ÷ 1.3356
£1,739 = 2,323 ÷ 1.3356
£1,998 = 2,668 ÷ 1.3356",Cost,DHW recirculation demand control: per hotel system ( converted) Generation storage insulation and distribution upgrades: supplier quote required,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,10
CRS-0034,CPF-0009,CARD-0034,INIT-0009,Carbon Factors,DISPLAY_PUBLISHED,"Hotel 1: (986 therm × 29.3071 kWh/therm × 0.18231 + 2,575 kWh × 0.13096) ÷ 1,000 = 5.61 tCO2e/year
Hotel 2: (1,304 therm × 29.3071 × 0.18231 + 627 kWh × 0.13096) ÷ 1,000 = 7.05 tCO2e/year",Carbon abatement,tCOe/hotel year for the two fully measured hotel cases at UK factors,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,10
CRS-0035,CTF-0009,CARD-0035,INIT-0009,Timing Factors,DISPLAY_PUBLISHED,"Measured hotel 1: £1,998 ÷ £952/year = 2.10 years
Measured hotel 2: £1,739 ÷ £988/year = 1.76 years ≈ 1.8 years
Third hotel: £1,453 ÷ £1,478/year = 0.98 years ≈ 1.0 year; annual saving was estimated, not measured",Payback,year simple payback in two fully measured hotel cases; year estimated for a third hotel,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,10
