Evidence_ID,Source_Title,Source_Organisation,Source_Type,Source_URL,Locator,Evidence_Strength,Evidence_Status,Geography,Publication_Date,Publication_Year,Metadata_Completeness_Status,Linked_Factor_Count,Version,Last_Reviewed,Source_Workbook
CEVID-0029,Best Practices Guide for Hotels,bhahotels.com,PDF,https://www.bhahotels.com/wp-content/uploads/2009/06/best-practices-guide.pdf,,,CURRENT,,,,INCOMPLETE,3,1.0,2026-08-18,Consolidate.xlsx
CEVID-0030,Stonegate Pub Company and Technik2 Energy Solutions,stonegategroup.co.uk,WEB_PAGE,https://www.stonegategroup.co.uk/press/stonegate-pub-company-in-partnership-with-technik2-energy-solutions/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0031,Hospitality Sector Council Energy Saving Guidance,hospitalitysectorcouncil.org,PDF,https://hospitalitysectorcouncil.org/media/kjxbw0id/hospitality-sector-councilenergy-savingguidance.pdf,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0032,"National Hamburger QSR case, eViewIoT",eviewiot.com,WEB_PAGE,https://eviewiot.com/hamburger-qsr/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0033,"VSD: £1,200/unit, four 2.2 kW inverters, £3,000 control integration, £2,340 design/making good and £10,000 rounded total",broxbourne.gov.uk,WEB_PAGE,https://www.broxbourne.gov.uk/downloads/file/4588/the-spotlight-decarbonisation-study-1-0,"Table 29, PDF p.42. SPON-based project estimate. High-efficiency motor: £1,300 purchase cost for an 11 kW IE4 motor:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0034,"Table 29, PDF p.42. SPON-based project estimate. High-efficiency motor: £1,300 purchase cost for an 11 kW IE4 motor",carbontrust.com,PDF,https://www.carbontrust.com/sites/default/files/documents/resource/public/Motors-and-drives-guide.pdf,"printed p.23, life-cycle costing example. Published May 2018",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0035,"purchase cost only. DCKV: £9,041 annual saving and 1.88-year payback",etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/quintex-helps-slash-energy-consumption-wetherspoons-pub,"“The result: Significant savings on energy and costs”. The approximately £17,000 investment is inferred because the source does not state capex directly",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0036,"VSD saving of 39,523 kWh/year",abdn.ac.uk,PDF,https://www.abdn.ac.uk/about/documents/SSR-CaseStudy-CHP-VSD.pdf,p.1. Higher-efficiency motors use 2%–5% less energy:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0037,p.1. Higher-efficiency motors use 2%–5% less energy,carbontrust.com,PDF,https://www.carbontrust.com/sites/default/files/documents/resource/public/Motors-and-drives-guide.pdf,"PDF p.17. DCKV saving of 36,167 kWh/year:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0038,"PDF p.17. DCKV saving of 36,167 kWh/year",etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/quintex-helps-slash-energy-consumption-wetherspoons-pub,“The result: Significant savings on energy and costs”. 0.13096 kgCO2e/kWh:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0039,“The result: Significant savings on energy and costs”. 0.13096 kgCO2e/kWh,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,full-set workbook “UK electricity”!E25,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0040,"VSD: £2,900 cost, £3,560/year saving and payback reduced to under 10 months",abdn.ac.uk,PDF,https://www.abdn.ac.uk/about/documents/SSR-CaseStudy-CHP-VSD.pdf,pp.1–2. Building heating-pump case,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0041,"site results depend on duty cycle and tariff. DCKV: 1.88-year payback and £9,041/year saving",etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/quintex-helps-slash-energy-consumption-wetherspoons-pub,“The result: Significant savings on energy and costs”. Direct pub case,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0042,VSD 16% speed reduction and 41.8% power-demand reduction,abdn.ac.uk,PDF,https://www.abdn.ac.uk/about/documents/SSR-CaseStudy-CHP-VSD.pdf,p.1. Variable-torque power varies with speed³ and higher-efficiency motors use 2%–5% less energy:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0043,p.1. Variable-torque power varies with speed³ and higher-efficiency motors use 2%–5% less energy,carbontrust.com,PDF,https://www.carbontrust.com/sites/default/files/documents/resource/public/Motors-and-drives-guide.pdf,"PDF pp.8 and 17. DCKV 36,167 kWh/year, 69% case reduction and 50%–60% supplier-stated typical reduction:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0044,"PDF pp.8 and 17. DCKV 36,167 kWh/year, 69% case reduction and 50%–60% supplier-stated typical reduction",etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/quintex-helps-slash-energy-consumption-wetherspoons-pub,"case results and Quintex quotation. DCKV results apply to extract and supply fan energy, not total kitchen energy.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0045,"Capital cost >£64,000, 250 kW heat-reclaim exchanger and 943 MWh/year recovered heat",assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/611b863e8fa8f53dc88ae8b7/ihrs-case-study-yeo-valley.pdf,PDF pp.2–3. Food-production refrigeration case,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0046,943 MWh/year and 85% boiler efficiency,assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/611b863e8fa8f53dc88ae8b7/ihrs-case-study-yeo-valley.pdf,PDF p.2. 0.18231 kgCO2e/kWh natural gas:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0047,PDF p.2. 0.18231 kgCO2e/kWh natural gas,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,full-set workbook “Fuels”!D42. Estimate excludes parasitic electricity,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0048,"Capital cost >£64,000, annual saving almost £22,000, 30% grant and reported two-year payback",assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/611b863e8fa8f53dc88ae8b7/ihrs-case-study-yeo-valley.pdf,PDF pp.2–3. General 3–5-year payback guidance:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0049,PDF pp.2–3. General 3–5-year payback guidance,carbontrust.com,PDF,https://www.carbontrust.com/sites/default/files/documents/resource/public/Refrigeration-guide.pdf,"printed p.13, Potential Savings.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0050,Refrigeration 250 kW and 943 MWh/year,assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/611b863e8fa8f53dc88ae8b7/ihrs-case-study-yeo-valley.pdf,"PDF p.2. Cooking-extract 80,000 kWh/year simulation and trial status:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0051,"PDF p.2. Cooking-extract 80,000 kWh/year simulation and trial status",hospitalitysectorcouncil.org,WEB_PAGE,https://hospitalitysectorcouncil.org/news/enjay-and-burger-king-innovation-case-study/,case-study body. Wastewater thresholds and score definition:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0052,case-study body. Wastewater thresholds and score definition,etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/products/wastewater-heat-recovery-systems/wastewater-heat-recovery-systems-instantaneous,"§§1.3.2 and 1.4.2, Table 1.1.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0053,etl.energysecurity.gov.uk,etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/autoflame-burner-controllers-save-energy-londons-leadenhall-building-and-nhs,"“The result”: NHS 7.03% / £9,605",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0054,etl.energysecurity.gov.uk,etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/autoflame-burner-controllers-save-energy-londons-leadenhall-building-and-nhs,“The result”: Leadenhall 180 tCO2/year,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0055,etl.energysecurity.gov.uk,etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/autoflame-burner-controllers-save-energy-londons-leadenhall-building-and-nhs,“The result”: Leadenhall ROI,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0056,etl.energysecurity.gov.uk,etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/case-studies/autoflame-burner-controllers-save-energy-londons-leadenhall-building-and-nhs,“The result”: NHS case,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0057,Three hotel total installed costs converted to GBP,mncee.org,PDF,https://www.mncee.org/sites/default/files/report-files/522971.pdf,"Table 22, PDF p.67. Source values 1,940, 2,323 and 2,668 converted at 1.3356 source-currency units per £1. 2018 annual exchange rate:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0058,"Table 22, PDF p.67. Source values 1,940, 2,323 and 2,668 converted at 1.3356 source-currency units per £1. 2018 annual exchange rate",ons.gov.uk,WEB_PAGE,https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/timeseries/auss/diop,2018 = 1.3356. Costs use existing recirculation pumps and exclude extra troubleshooting/commissioning visits.,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0059,"Hotel savings of 986/1,304 therm and 2,575/627 kWh",mncee.org,PDF,https://www.mncee.org/sites/default/files/report-files/522971.pdf,"Table 1, PDF p.10. 1 therm = 100,000 Btu and 1 kWh = 3,412 Btu:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0060,"Table 1, PDF p.10. 1 therm = 100,000 Btu and 1 kWh = 3,412 Btu",eia.gov,WEB_PAGE,https://www.eia.gov/energyexplained/units-and-calculators/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0061,UK factors,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,full-set workbook “Fuels”!D42 and “UK electricity”!E25.,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0062,"Hotel total costs, annual savings and paybacks",mncee.org,PDF,https://www.mncee.org/sites/default/files/report-files/522971.pdf,"Table 22, PDF p.67. The report states hotels using >1,500 gallons/day generally achieved payback around two years",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0063,"Baseline, controlled use and savings",mncee.org,PDF,https://www.mncee.org/sites/default/files/report-files/522971.pdf,"Table 1, PDF p.10. Three hotels were included and alternating baseline/control testing ran for at least 10 months: PDF p.9. The report warns that the field sample was too small for broad sector conclusions and that correct commissioning was essential: PDF pp.68–69.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0064,stated for commercial settings.,uk.rs-online.com,WEB_PAGE,https://uk.rs-online.com/web/p/plug-in-timers/1785368,"Manchester Compliance, ‘Teleswitch Replacement Costs’, 13 July 2026: £150–£300 including time clock, installation, programming, testing and certification",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0065,housing-sector installed-cost proxy.,manchestercompliance.co.uk,WEB_PAGE,https://www.manchestercompliance.co.uk/news/teleswitch-replacement-costs-housing-associations/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0066,48%,gsa.gov,PDF,https://www.gsa.gov/system/files/GPG003-Advanced%20Power%20Strips-Findings-508R.pdf,p.3,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0067,0.13096,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,"full-set workbook, ‘UK electricity’!E25",,CURRENT,,,,INCOMPLETE,4,1.0,2026-08-18,Consolidate.xlsx
CEVID-0068,gsa.gov,gsa.gov,PDF,https://www.gsa.gov/system/files/GPG003-Advanced%20Power%20Strips-Findings-508R.pdf,"p.3, Cost-Effectiveness",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0069,gsa.gov,gsa.gov,PDF,https://www.gsa.gov/system/files/GPG003-Advanced%20Power%20Strips-Findings-508R.pdf,"pp.2–3, Energy Savings",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0070,33 and 9 kWh/month,betterbuildingssolutioncenter.energy.gov,WEB_PAGE,https://betterbuildingssolutioncenter.energy.gov/implementation-models/ccac-computer-power-management,Results,,CURRENT,,,,INCOMPLETE,2,1.0,2026-08-18,Consolidate.xlsx
CEVID-0071,betterbuildingssolutioncenter.energy.gov,betterbuildingssolutioncenter.energy.gov,WEB_PAGE,https://betterbuildingssolutioncenter.energy.gov/implementation-models/ccac-computer-power-management,Implementation,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0072,"excludes structural, statutory and professional fees.",docs.planning.org.uk,PDF,https://docs.planning.org.uk/20220921/27/RGTDNNBCKYY00/um6x2dhupb7ey4ea.pdf,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0073,"56%: ACEEE, Advancing Elevator Energy Efficiency, report p.6, direct 20-storey Hyatt Place hotel case.",aceee.org,PDF,https://www.aceee.org/sites/default/files/publications/researchreports/a1501.pdf,"0.13096: UK Government 2026 conversion-factor full-set XLSX, ‘Factors by Category’!J3066.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0074,"Cost: Ardent Lift Consultancy survey, PDF p.14.",docs.planning.org.uk,PDF,https://docs.planning.org.uk/20220921/27/RGTDNNBCKYY00/um6x2dhupb7ey4ea.pdf,"Saving: ACEEE hotel case, report p.6.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0075,"Saving: ACEEE hotel case, report p.6.",aceee.org,PDF,https://www.aceee.org/sites/default/files/publications/researchreports/a1501.pdf,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0076,"ACEEE, Advancing Elevator Energy Efficiency, report p.6.",aceee.org,PDF,https://www.aceee.org/sites/default/files/publications/researchreports/a1501.pdf,"Columbus McKinnon, Emily Morgan Hotel regenerative-drive case, Results.",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0077,"Columbus McKinnon, Emily Morgan Hotel regenerative-drive case, Results.",cmco.com,WEB_PAGE,https://www.cmco.com/en-sx/resources/case-studies-listing-page/emily-morgan-hotel-realizes-rebates-with-quattro-drives/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0078,pwtag.org,pwtag.org,WEB_PAGE,https://www.pwtag.org/pool-circulation-pumps-variable-speed-drives/,typical VSD installation cost,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0079,"240,000 kWh and 5 VSDs",leicester.gov.uk,PDF,https://www.leicester.gov.uk/media/e3dnjnr3/4f-leicester-vsd-0223.pdf,p.12,,CURRENT,,,,INCOMPLETE,3,1.0,2026-08-18,Consolidate.xlsx
CEVID-0080,Typical,pwtag.org,WEB_PAGE,https://www.pwtag.org/pool-circulation-pumps-variable-speed-drives/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0081,ccacoalition.org,ccacoalition.org,PDF,https://www.ccacoalition.org/sites/default/files/resources/files/2015_11_case-studies-low-gwp-commercial-refrigeration-technologies.pdf,"Sobeys case, printed p.17",,CURRENT,,,,INCOMPLETE,3,1.0,2026-08-18,Consolidate.xlsx
CEVID-0082,gov.uk,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,"2026 full-set workbook, ‘Refrigerant & other’ worksheet, rows labelled R404A and R290",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0083,etl.energysecurity.gov.uk,etl.energysecurity.gov.uk,PDF,https://etl.energysecurity.gov.uk/sites/default/files/2021-06/Refrigeration-equipment-claim-value-guide.pdf,"p.25, Table 23.1",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0084,gov.uk,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,"2026 full-set workbook, ‘Refrigerant & other’ worksheet, rows labelled R404A, HFC-134a and R290",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0085,next.shropshire.gov.uk,next.shropshire.gov.uk,PDF,https://next.shropshire.gov.uk/media/4555/refrigeration_guide.pdf,printed p.29,,CURRENT,,,,INCOMPLETE,2,1.0,2026-08-18,Consolidate.xlsx
CEVID-0086,instant triggers eliminate lag and streamlined execution enables faster event closure.,facilio.com,WEB_PAGE,https://facilio.com/newsroom/hellofresh-facilio-press-release/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0087,equipment removal/recharge not included.,ultimateair.co.uk,PDF,https://ultimateair.co.uk/wp-content/uploads/2025/10/Ultimate-Air-October-2025-Price-Book.pdf,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
