Case_ID,Initiative_ID,Initiative_Name,Sort_Order,Title,Narrative,Source_Count,Source_Workbook,Source_Row
CASE-0011,INIT-0011,"Implement power management for small-power, IT and server-room equipment",1,U.S. DOE CCAC Computer Power Management,"International: Computer power management – Community College of Allegheny County
Applying central power-management settings reduced electricity use by 74%, from 33 kWh to 9 kWh per computer per month, saving 288 kWh per computer per year. [1]

International: Smart control of printers and small-power loads – UC San Diego
Static schedules cut plug-load energy by 38%–66%; print-server controls cut printer energy by 86%, and scheduled water dispensers cut energy by 32% with three-year payback. [2]",2,Consolidate.xlsx,12
CASE-0012,INIT-0012,Upgrade lift and escalator drives and controls,1,ACEEE Hyatt Place Elevator Case,"Hotels: Regenerative lift modernisation – Hyatt Place Waikiki Beach
Replacing lift machines and controls with permanent-magnet motors, destination software and regenerative drives reduced lift electricity use by 56% while improving reliability and ride quality. [1]

Hotels: Regenerative lift drives – Emily Morgan Hotel
Installing regenerative lift drives reduced watt-hours by 45% and peak electrical demand by 31%. [2]",2,Consolidate.xlsx,13
CASE-0013,INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",1,Leicester City Council Pool VSD Case,"Leisure: Variable-speed pool circulation – Leicester
Five variable-speed drives replaced fixed-speed operation on swimming-pool circulation plant, allowing pump flow to match actual filtration demand rather than running continuously at full speed. The installation saved 240,000 kWh per year, equal to 48,000 kWh per VSD, with no measurable deterioration in pool-water quality and 1.11-year payback. [1]

Hotels: Swimming-pool heat pump – City-centre rooftop pool
The pool-heating system used a heat pump instead of relying solely on direct electric or gas-boiler heat. Measured operation delivered 49.1 MWh of heat from 24.6 MWh of electricity at an average COP of 2.0, saving 26.5–32.5 MWh per heating season versus the alternative boiler baselines. [2]",2,Consolidate.xlsx,14
CASE-0014,INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,1,CCAC Low-GWP Commercial Refrigeration Cases,"International Retail Food: Low-GWP CO₂ refrigeration – Sobeys
Sobeys’ transcritical CO₂ systems with heat reclaim delivered 0%–15% lower installation cost, 50% lower maintenance cost, 75%–85% lower heating cost and under three-year payback in the cited cases. [1]

International Retail Food: CO₂ secondary-loop refrigeration – Loblaw Scarborough
A CO₂ secondary loop with subcooling, floating head pressure and heat recovery used 23% less energy and reduced GHG emissions by 59%, equal to 2,700 tCO₂e, versus a similar conventional supermarket. [2]",2,Consolidate.xlsx,15
CASE-0015,INIT-0015,Install refrigerant leak detection and implement rapid repair,1,Shropshire Commercial Refrigeration Guide,"Commercial Refrigeration: Leak detection and rapid repair benchmark
Published refrigeration guidance indicates leaking systems can be 11% less efficient, while detection and repair can reduce energy cost by up to 15%; indicative payback is 2–3 years for small leaks and under one year for large leaks. [1]

International Food Retail: Continuous refrigerant leak detection – Spanish grocery chain
Installing continuous leak detection across 5 stores reduced refrigerant leakage by 71% and leak-location time by 90% within 4 weeks. [2]",2,Consolidate.xlsx,16
CASE-0016,INIT-0016,Maintain a governed refrigerant inventory and leakage record,1,Facilio HelloFresh Refrigerant Compliance Case,"Food Production: Central refrigerant compliance tracking – HelloFresh
HelloFresh centralised refrigerant tracking across food-production facilities, using instant triggers to remove delays between detection and action and accelerate closure of refrigerant events. [1]

International Food Retail: Refrigerant analytics and compliance records – Woolworths
Connecting refrigeration data across more than 1,200 stores automated compliance logs and prioritised faults, reducing refrigerant leaks by 37%, avoiding 1,885 service calls and cutting Scope 1 emissions by 27%. [2]",2,Consolidate.xlsx,17
CASE-0017,INIT-0017,Recover refrigerants at equipment end of life and document transfer,1,UK Government WEEE Refrigerant Recovery Guidance,"UK Treatment Benchmark: End-of-life refrigerant recovery – WEEE plants
UK guidance requires treatment systems to recover at least 90% of refrigerant, while dedicated treatment plant is designed to remove and collect more than 99%. [1]

International: End-of-life R-12 recovery and destruction – University of Rochester
Recovering and destroying 23,635 lb of R-12 from 2 retired chillers avoided 103,650 tCO₂e and generated a project credit from the recovered refrigerant. [2]",2,Consolidate.xlsx,18
CASE-0018,INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",1,Energy Technology List Greene King Case,"Pubs: Efficient bottle-cooler replacement – Greene King Punch and Judy
The pub replaced 8 mixed-manufacturer, older-generation double-door bottle coolers consuming 4.71 kWh per unit per day with ETL-listed Rhino units selected for rapid pull-down and lower energy use. The new coolers consume 0.81 kWh per unit per day, saving about £2,500 per year at 25p/kWh; reported fan life increased from about 4 years to nearly 8 years, with around £300 of service call-outs avoided over an appliance life. [1]

Food Retail: Door-fronted refrigeration – Washingpool Farm Shop
Three open-fronted refrigerated cabinets were replaced with door-fronted units to reduce cold-air loss into the shop. The £30,889 project was estimated to reduce refrigeration energy by 61%, saving about 54,000 kWh, £15,000 and 28 tCO₂e per year. [2]",2,Consolidate.xlsx,19
CASE-0019,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,1,IESO Freezer Setpoint Research Study,"International Restaurants / Hotels: Warmer freezer setpoint trial – IESO
Raising freezer setpoints from −18°C to −15°C across more than 24 restaurant and hotel freezers reduced freezer energy use by 10% on average, with almost all foods remaining safe and without loss of quality. [1]",1,Consolidate.xlsx,20
CASE-0020,INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,1,Energy Saving Trust Outdoor Heating Comparison,"Hospitality Reference: Targeted electric outdoor heating – Energy Saving Trust
The published comparison indicates targeted electric infrared heating can reduce running cost by 66.7% versus gas patio heating for the same stated area and duration, while directing heat toward people and objects. [1]",1,Consolidate.xlsx,21
CASE-0021,INIT-0021,Conduct whole-life carbon assessments for major capital projects,1,UKGBC Entopia Building Case,"Cross-sector: Whole-life carbon assessment – Entopia Building
Whole-life carbon assessment was used to compare deep retrofit with conventional refurbishment, prioritising retention of the existing structure rather than demolition and replacement. The selected design is expected to save 80% of whole-life carbon versus a standard refurbishment, while structural retention avoided about 60% of embodied carbon. [1]

QSR: Net-zero construction benchmark – McDonald’s Market Drayton
McDonald’s tested specific lower-carbon substitutions rather than relying on a generic green-building label: sheep wool replaced man-made insulation, 250 m² of external cladding was made from recycled IT and white goods, and more than 1,000 kerbs were made from recycled bottles instead of concrete. Each kerb avoided 25 kgCO₂ compared with the concrete baseline. [2]",2,Consolidate.xlsx,22
CASE-0022,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,1,McDonald’s UK Net-Zero Restaurant,"QSR: Operational and embodied-carbon targets – McDonald’s Market Drayton
The design combined on-site renewable generation with product-level material substitutions: two wind turbines and 92 m² of solar generate 60,000 kWh per year, while sheep-wool insulation, recycled-appliance cladding and recycled-plastic kerbs reduce construction impacts. The restaurant was built to the UKGBC net-zero construction framework and used as a blueprint for future freehold new builds. [1]

Cross-sector: Performance targets – Entopia Building
The project set quantified design targets before procurement, including an 85% reduction in energy demand, an expected 80% whole-life carbon saving and embodied carbon of 408 kgCO₂e/m², then used deep retrofit and structural retention to pursue them. [2]",2,Consolidate.xlsx,23
CASE-0023,INIT-0023,Apply carbon criteria at capital-project investment and design gates,1,McDonald’s UK Net-Zero Restaurant,"QSR: Carbon criteria at design approval – McDonald’s Market Drayton
Design approval selected a defined package of on-site renewables and lower-carbon materials rather than leaving sustainability requirements to later procurement. The approved specification included two wind turbines, 92 m² of solar panels, British sheep-wool insulation, 250 m² of recycled-appliance cladding and more than 1,000 lower-carbon recycled-plastic kerbs, creating a repeatable blueprint for future restaurants. [1]

Method Benchmark: Whole-life carbon decision gates – RICS
The RICS standard provides a consistent basis for comparing design options across product, construction, use and end-of-life stages before capital approval, enabling carbon performance to be assessed alongside cost and technical requirements. [2]",2,Consolidate.xlsx,24
CASE-0024,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,1,McDonald’s UK Net-Zero Restaurant,"QSR: Product-specific material selection – McDonald’s Market Drayton
McDonald’s specified named material substitutions with measurable quantities: 250 m² of cladding made from recycled IT and white goods, British sheep wool instead of man-made insulation, and more than 1,000 kerbs made from over 200,000 recycled bottles. Each kerb was reported to avoid 25 kgCO₂ versus a concrete equivalent. [1]

Method Benchmark: Product and EPD evidence – RICS
The RICS whole-life carbon method prioritises product-specific environmental data when available, allowing procurement teams to compare material and equipment options using declared product impacts rather than generic category averages. [2]",2,Consolidate.xlsx,25
CASE-0025,INIT-0025,"Prioritise refurbishment, reuse and adaptation before new construction",1,UKGBC Entopia Building Case,"Cross-sector: Deep retrofit instead of replacement – Entopia Building
Retaining and adapting the existing building reduced energy demand by 85%, delivered an expected 80% whole-life carbon saving and retained the original structure, avoiding about 60% of embodied carbon. [1]

Cross-sector: Adaptive reuse and structural retention – UC Davis Walker Hall
Retaining 75% of the structure, combined with lower-carbon materials, reduced embodied carbon by 57%, diverted 86% of construction waste and avoided about 700 tCO₂e. [2]",2,Consolidate.xlsx,26
CASE-0026,INIT-0026,Require component reuse and material recovery in building and fit-out projects,1,UKGBC Timber Square Case,"Cross-sector: Structural and component reuse – Timber Square
Reusing about 80% of the original structure by volume saved 7,300 tCO₂; reclaimed floor tiles saved 1,362 tCO₂e and reused steel beams saved 276 tCO₂e. [1]

Restaurants: Circular fit-out and component reuse – Apricity, London
Reusing existing floors, furniture, staircase timber and skirting boards reduced fit-out emissions by 40% compared with a standard restaurant fit-out. [2]",2,Consolidate.xlsx,27
CASE-0027,INIT-0027,Specify lower-carbon and responsibly sourced construction materials,1,McDonald’s UK Net-Zero Restaurant,"QSR: Lower-carbon construction materials – McDonald’s Market Drayton
The restaurant substituted several conventional materials: 250 m² of standard cladding was replaced with panels made from recycled IT and white goods, man-made insulation was replaced with British sheep wool, and more than 1,000 concrete kerbs were replaced with recycled-plastic units made from 182 bottles each. The kerbs reduce emissions by 25 kgCO₂ per unit versus concrete. [1]

Materials Benchmark: Paint carbon disclosure – Dulux
Product EPDs and carbon data allow paint specifications to be compared using product-specific embodied-carbon evidence; recycled paint options contain 35% recycled paint content. [2]

Materials Benchmark: Carpet tile – Interface Heuga 580 II
The carpet tile reports 3.53 kgCO₂e/m² cradle-to-gate embodied carbon, 77% recycled content and a 15-year warranty, with take-back through the ReEntry scheme. [3]

Materials Benchmark: Insulation – Knauf Rocksilk Flexible Slab
The product EPD reports approximately 1.75 kgCO₂e/m² for production stages A1–A3 for the declared flexible-slab unit. [4]",4,Consolidate.xlsx,28
CASE-0028,INIT-0028,"Specify durability, repairability, modularity and supplier take-back for capital equipment",1,Energy Technology List Whitbread Refrigeration Case,"Hotels & Restaurants: Modular refrigerated equipment – Whitbread Oxford Beefeater
Whitbread’s all-electric “Kitchen of the Future” replaced traditional undercounter cabinets, which required more space and slower ingredient access, with Adande VCS2 and VCR2 modular drawers at key kitchen stations. Each drawer can operate as chilled or frozen storage, reusable worktops and heat shields reduce replacement waste, and energy monitors at Oxford and Reading established the baseline; the trial confirmed 46% lower refrigeration energy, 13% more gastronorm capacity and about 7 seconds saved per opening, equal to roughly 4 staff hours per kitchen per day, alongside lower meat shrinkage and easier cleaning. [1]",1,Consolidate.xlsx,29
CASE-0029,INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",1,UKGBC JLL Manchester Fit-Out Case,"Cross-sector: Adaptable and demountable fit-out – JLL Manchester
A fit-out designed for reuse and reconfiguration achieved 38% lower upfront embodied carbon, reused more than 500 items, made 90% of the floorplate reconfigurable and saved £40,000 through second-hand furniture. [1]

Cross-sector: Design for disassembly and reuse – Timber Square
Reusing about 80% of the original structure saved 7,300 tCO₂ and established recoverable component strategies for future building changes. [2]",2,Consolidate.xlsx,30
CASE-0030,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,1,Optimised Radisson Blu Case Study,"Hotels: Operational commissioning and continuous recommissioning – Radisson Blu
The hotel used its existing submeters and Trend BEMS to collect half-hourly data, identify anomalies and coordinate HVAC, boilers, a 285 kW bio-oil CHP, an absorption chiller and electric chillers that had previously been commissioned separately. Ongoing remote monitoring and repeated retuning reduced total energy by 30%, electricity by 17% and gas by 41%, with under 12-month payback. [1]

Hotels: Existing-building commissioning – Hotel Monaco, Washington DC
The project combined commissioning with targeted efficiency upgrades rather than a single equipment replacement, addressing operating faults and building-system performance. Annual energy use fell 28% and water use 41%, while guest-room temperature complaints fell 11%, linking technical savings with guest comfort. [2]",2,Consolidate.xlsx,31
CASE-0031,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,1,Energy Technology List Greene King Case,"Pubs: Verified efficient refrigeration – Greene King Punch and Judy
Greene King used the Energy Technology List as a procurement screen, replacing 8 older mixed-manufacturer double-door bottle coolers with ETL-listed Rhino units selected for rapid pull-down, efficient components and lower energy use. Consumption fell from 4.71 kWh to 0.81 kWh per unit per day, saving about £2,500 per year; reported fan life increased from about 4 to nearly 8 years. [1]

Contract Catering Benchmark: Efficient equipment selection – Carbon Trust
The sector study recommends using verified efficiency criteria at equipment specification, supported by sub-metering to confirm operating performance and shared-investment models where the caterer operates equipment but the client controls capital budgets. This allows lower-energy kitchen equipment to be selected and its savings assigned between the parties. [2]",2,Consolidate.xlsx,32
CASE-0032,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,1,National Gas Metering Hydrogen Kitchen Case,"Commercial Kitchens: Hydrogen-powered kitchen prototype – National Gas Metering
A working industrial kitchen was developed and tested entirely on hydrogen, demonstrating equipment operation and food-quality performance before wider infrastructure investment. [1]",1,Consolidate.xlsx,33
CASE-0033,INIT-0033,Apply environmental-performance criteria when selecting leased sites,1,Better Buildings Partnership York House Case,"Cross-sector: Environmental criteria for occupied buildings – York House
The landlord and occupier converted broad environmental aims into operating criteria by forming an Environmental Management Group, assigning responsibilities, installing automatic 15-minute energy monitoring and creating an annual Environmental Action Plan. Separating landlord-controlled common-area and HVAC loads from occupier-controlled loads helped identify accountable actions, reducing annual energy by 1.1 million kWh and saving £63,000 and 416 tCO₂. [1]",1,Consolidate.xlsx,34
CASE-0034,INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,1,Trane Wendy’s HVAC Case Study,"QSR Franchise: Performance criteria at onboarding – Wendy’s
Wendy’s compared two rebuilt restaurants: the control retained two high-efficiency rooftop units plus dedicated make-up air, while the upgraded design paired lower-airflow kitchen hoods with Trane Voyager rooftop units using eFlex variable-speed compressors. Total energy fell 24% at the upgraded site versus 13% at the control over 8 months, and the equipment package became a standard option for new company and franchise locations. [1]

Leased Buildings: Energy criteria at renewal – York House
The landlord and occupier created a shared baseline using automatic 15-minute monitoring, separated each party’s controlled loads and agreed an Environmental Action Plan with named actions and responsibilities. The programme reduced annual energy by 1.1 million kWh, saving £63,000 and 416 tCO₂. [2]",2,Consolidate.xlsx,35
CASE-0035,INIT-0035,"Include green performance, data and cooperation clauses in leases and franchise agreements",1,Better Buildings Partnership York House Case,"Leased Buildings: Green cooperation clauses – York House
The landlord and occupier established a formal Environmental Management Group, named responsible representatives and maintained an annual Environmental Action Plan supported by shared 15-minute energy data. This governance structure turned cooperation commitments into tracked actions, reducing landlord-controlled energy by 32% and occupier-controlled energy by 9%. [1]

Lease Benchmark: Green data and cooperation clauses – Better Buildings Partnership
Model clauses provide practical wording for energy-data sharing, metering, renewable procurement and cooperation on environmental improvements, clarifying what information must be shared and how both parties approve and implement actions. [2]",2,Consolidate.xlsx,36
CASE-0036,INIT-0036,"Collect and quality-check energy and emissions data from leased, tenanted and franchised sites",1,Better Buildings Partnership York House Case,"Leased Buildings: Shared energy-data controls – York House
Automatic meters recorded energy at 15-minute intervals and the landlord and occupier separated common-area and central-HVAC loads from tenant-controlled consumption, replacing a single undifferentiated building total with accountable datasets. The shared monitoring and action plan supported a 1.1 million kWh annual reduction, £63,000 saving and 416 tCO₂ reduction. [1]",1,Consolidate.xlsx,37
CASE-0037,INIT-0037,Secure rights and approval routes for environmental improvements in leased sites,1,Better Buildings Partnership York House Case,"Cross-sector: Landlord-occupier approval routes – York House
A formal Environmental Management Group gave landlord and occupier representatives a route to review performance, assign responsibilities and approve an annual Environmental Action Plan using shared 15-minute energy data. Coordinated building and operational changes contributed to 32% lower landlord-controlled energy and 9% lower occupier-controlled energy. [1]

Food & Beverage / Leased Site: Green lease rights – The Coffee House
At a 10-year lease renewal, the tenant and university landlord added utility-data sharing and provisions covering lighting, windows and HVAC so identified improvements could be approved and implemented. The supporting audit identified 12% electricity and 32% gas reduction potential with 2.9-year payback. [2]",2,Consolidate.xlsx,38
