Initiative_ID,Initiative_Name,Topic,Sub_Topic,Description,Why_Benefit,How_Text,KPI,Sector_Included,Sector_Not_Included,Source_Old_Initiative,Value_Card_Slots,Has_Case,Source_Workbook,Source_Sheet,Source_Row
INIT-0011,"Implement power management for small-power, IT and server-room equipment",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Apply device sleep settings, server consolidation, efficient uninterruptible power supplies, correctly sized cooling and managed shutdown to IT and other operator-controlled electrical loads.","POS systems, office devices, displays, network equipment and local servers can create a continuous electrical and cooling load. Power management cuts unnecessary 24-hour consumption and improves control of IT assets without affecting trading availability.",Inventory devices and run hours; measure baseload; enable power-management policy; consolidate/retire equipment; optimise UPS and cooling; verify kWh.,% of managed devices with sleep or shutdown policy enabled; out-of-hours IT and small-power kWh; kWh per workstation or site; server-room PUE where applicable,"Hotels, larger Restaurants/QSRs, Pubs/Bars/Breweries, Contract Caterers and Experiential Leisure with material managed IT loads",Sites with only negligible or landlord-controlled IT loads.,,4,YES,Consolidate.xlsx,工作表1,12
INIT-0012,Upgrade lift and escalator drives and controls,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Improve operator-controlled vertical transport through efficient drives, regenerative braking where viable, sleep/standby controls and optimised operating schedules.","Lifts and escalators are essential to accessibility and guest movement in hotels and multi-storey leisure venues. Efficient drives and standby controls reduce electricity and peak demand while improving reliability, ride quality and service continuity.",Obtain controller/drive data and run profiles; assess standby and regeneration; prioritise controls before replacement; procure compliant upgrade; verify kWh and service quality.,"Lift or escalator kWh per trip or operating hour; standby energy share (%); % of eligible units using sleep or regeneration; annual kWh, £ and tCO2e saved","Hotels, Experiential Leisure and multi-storey hospitality sites with controlled lifts/escalators",Single-storey sites and landlord-controlled vertical transport.,,4,YES,Consolidate.xlsx,工作表1,13
INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Reduce operator-controlled pool energy and water demand through covers, variable-speed circulation, efficient heating, optimised backwashing and safe temperature management.","Swimming pools are among the most energy- and water-intensive hospitality amenities. Optimising covers, circulation, heating and backwashing protects the guest offer while reducing pumping, evaporation, heating and water-treatment costs.",Submeter pool plant; review filtration/turnover and backwash; assess covers; optimise pump speed and schedules; review temperatures with safety team; verify energy and water.,Pool energy intensity (kWh/m² water surface or per bather); circulation-pump kWh; make-up and backwash water litres per bather; annual £ and tCO2e saved,Hotels and Experiential Leisure with swimming pools,All sites without pools; landlord-controlled pool plant.,,4,YES,Consolidate.xlsx,工作表1,14
INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,Move eligible refrigeration and cooling plant from high-GWP refrigerants to technically safe lower-GWP alternatives at replacement or major service points.,"Refrigeration and cooling are essential to hospitality operations, and leaked high-GWP refrigerant can be a major direct-emissions source. A planned transition reduces climate and regulatory exposure, improves refrigerant availability resilience and avoids rushed equipment decisions.",Build equipment/charge inventory; rank by charge × GWP × leakage; assess alternatives and safety class; plan conversion/replacement; recover old gas; update records and verify energy.,% of in-scope refrigerant charge converted to lower-GWP alternatives; charge-weighted average GWP; kg of high-GWP refrigerant retired; lifecycle leakage risk reduced (tCO2e),"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Equipment where the alternative is unsafe, unlawful or incompatible without full replacement.",,4,YES,Consolidate.xlsx,工作表1,15
INIT-0015,Install refrigerant leak detection and implement rapid repair,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Use fixed or portable detection, alarms and a defined response process to find and repair refrigerant leakage earlier.","Refrigerant leaks increase recharge cost, equipment energy use and failure risk, with potential consequences for food stock, guest comfort and trading continuity. Early detection shortens the time to repair and reduces emissions, maintenance cost and product-loss risk.","Map charge and statutory thresholds; establish baseline leakage; select detection method; set alarm/escalation; train contractors; log leak, repair and recharge data.",Annual refrigerant leakage rate (% of installed charge); median alarm-to-repair time; kg of refrigerant lost or recharged; tCO2e leakage avoided,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Equipment with no refrigerant charge or outside the operator's maintenance control.,,4,YES,Consolidate.xlsx,工作表1,16
INIT-0016,Maintain a governed refrigerant inventory and leakage record,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Maintain asset-level refrigerant type, charge, location, ownership, service, leakage and end-of-life status to support compliance and abatement prioritisation.","Large estates and outsourced maintenance can leave operators without reliable refrigerant charge and leakage data. A governed inventory supports compliance, exposes high-GWP and high-leak assets and directs maintenance and replacement capital to the greatest risks.",Define asset ID and ownership; collect nameplate/service records; reconcile charge and top-ups; calculate annual leakage; flag missing records/high-risk assets; audit annually.,"% of in-scope assets with verified refrigerant type, charge, ownership and service history; % of total charge covered by leakage data; % of high-risk assets with an approved action plan","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Equipment demonstrably outside the reporting and maintenance boundary.,,4,YES,Consolidate.xlsx,工作表1,17
INIT-0017,Recover refrigerants at equipment end of life and document transfer,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Recover, contain and transfer refrigerants for reclamation or destruction during equipment decommissioning rather than venting or unmanaged disposal.","Hospitality equipment is regularly replaced during kitchen, refrigeration and HVAC renewal. Documented refrigerant recovery prevents high-impact end-of-life emissions, demonstrates compliant contractor control and protects the organisation from unmanaged disposal liabilities.",Include recovery in decommissioning scope; record pre-work charge; use certified contractor; weigh recovered gas; obtain waste/transfer documentation; close asset record.,% of decommissioned refrigerant charge recovered; kg transferred for reclamation or destruction; % of disposals with complete transfer evidence; end-of-life tCO2e avoided,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Equipment outside the organisation's decommissioning or procurement control.,,4,YES,Consolidate.xlsx,工作表1,18
INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Improve cold-storage energy performance through efficient equipment, EC fans, doors/lids, seals, insulation, defrost and control optimisation. Refrigerant GWP and leakage are separate.","Refrigeration operates continuously and directly protects food safety, beverage quality and product availability. Efficient cabinets, doors, seals, fans and controls reduce one of the largest controllable electricity loads while lowering spoilage, maintenance and failure risk.","Meter representative cabinets/plant; inspect seals, doors, fans, defrost and setpoints; repair low-cost defects; compare ETL products; replace at end-of-life; verify kWh.","Refrigeration electricity intensity (kWh/m³ refrigerated volume or per cover); door, seal and defrost exception rate; annual kWh, £ and tCO2e saved; product-loss incidents","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Landlord- or supplier-owned equipment without operator upgrade authority.,,4,YES,Consolidate.xlsx,工作表1,19
INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Raise freezer setpoints only for product categories and equipment validated for the change, with documented food-safety, quality and contractual approval.","Freezers run continuously, so even a small validated setpoint change can reduce annual electricity with little or no capex. The measure offers low-disruption savings where product quality, food safety requirements and equipment specifications permit.",Identify eligible products/equipment; secure technical and food-safety approval; pilot temperature stability and quality; adjust setpoint; monitor alarms and kWh; scale only after validation.,"% of eligible freezer load operating at the approved warmer setpoint; freezer kWh per m³ or tonne of product; annual kWh, £ and tCO2e saved; temperature or product-quality exceptions","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Products/equipment requiring colder temperatures or lacking technical and food-safety approval.,Switch freezer temperatures to -15.,4,YES,Consolidate.xlsx,工作表1,20
INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Eliminate outdoor heating where possible; where a justified customer need remains, assess targeted zonal electric infrared only after demand reduction and control.",Fossil patio heaters consume significant energy to provide a non-core service in an exposed area. Removing unnecessary heating or using targeted alternatives reduces fuel cost and emissions while retaining outdoor trading where it has clear customer value.,"Inventory heaters/fuel/run hours; challenge service need; improve shelter/blankets/controls; remove fossil units; if retained service is justified, trial targeted electric zoning; verify net energy.",Number and rated capacity of fossil patio heaters removed; annual fuel kWh and operating hours avoided; annual £ and tCO2e saved; outdoor-area sales or customer complaints during trial,"Restaurants, Pubs/Bars/Breweries and Hotels with outdoor trading areas",Sites without outdoor heating or without authority over the equipment/energy.,"Avoid outdoor patio heaters, or if you must use them, use infra-red electric heaters",4,YES,Consolidate.xlsx,工作表1,21
INIT-0021,Conduct whole-life carbon assessments for major capital projects,Energy & Buildings,Capital Goods (sub group supply chain),"Assess product, construction, use-stage and end-of-life carbon for major construction, refurbishment and fit-out projects using consistent boundaries and data hierarchy.","Hospitality businesses refurbish and refit sites frequently, so operational energy alone can overlook substantial construction and material impacts. Whole-life carbon assessment identifies the design choices that drive carbon and cost before they become difficult to change.",Set the project threshold; define the baseline option; quantify materials and operational scenarios using the RICS life-cycle modules; use environmental product declarations where available; test options; update the assessment at approval stages and completion.,"% of major projects assessed at concept, design and completion; whole-life carbon intensity (kgCO2e/m²); reduction versus baseline option (% and tCO2e); design-to-completion assessment variance","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Minor works below the organisation's approved materiality threshold.,,4,YES,Consolidate.xlsx,工作表1,22
INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,Energy & Buildings,Capital Goods (sub group supply chain),"Set measurable operational-energy and upfront/whole-life-carbon targets at project brief stage, using consistent project type and life-cycle boundaries.","New sites and major refurbishments lock in energy performance and material choices for many years. Clear operational and embodied-carbon targets give designers and suppliers accountable thresholds, reducing performance gaps and expensive future retrofit requirements.",Select peer benchmark and project boundary; set operational and embodied targets; allocate targets to design team; include in employer's requirements; track at each stage.,% of projects with approved operational-energy and embodied-carbon targets before concept approval; target kWh/m² and kgCO2e/m²; % of projects forecast to meet target at each design gate,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.","When undertaking new construction projects, design for performance and set embodied carbon targets",4,YES,Consolidate.xlsx,工作表1,23
INIT-0023,Apply carbon criteria at capital-project investment and design gates,Energy & Buildings,Capital Goods (sub group supply chain),"Require project teams to demonstrate performance against approved carbon targets before funding, design freeze, procurement and completion decisions.",Hospitality brands often repeat approved designs across many locations. Carbon criteria at investment and design gates prevent high-impact options from being committed and avoid multiplying poor material or energy decisions across the estate.,Add carbon deliverables to gate checklist; define accountable approver; require baseline/options/variance; record decision and conditions; verify completion against approval.,% of investment and design gates with complete carbon evidence; forecast tCO2e change arising from gate decisions; % of conditional approvals with actions closed before the next gate,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,4,YES,Consolidate.xlsx,工作表1,24
INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,Energy & Buildings,Capital Goods (sub group supply chain),Collect comparable product carbon data for high-impact materials and capital equipment so procurement and WLCA can compare like-for-like options.,"Repeated procurement across common materials and equipment can create a significant aggregate footprint. Comparable EPD and product data allow buyers to distinguish genuinely lower-carbon options, use purchasing scale and support credible customer and corporate reporting.",Define priority categories; specify accepted standards and expiry; request EPDs in tender; validate declared unit/modules; store source/version; link selected product to project calculation.,% of priority spend and material mass covered by valid product-specific EPD or LCA data; % of records with matched declared unit and life-cycle modules; average data-quality score,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Low-materiality purchases outside the approved priority list.,,4,YES,Consolidate.xlsx,工作表1,25
INIT-0025,"Prioritise refurbishment, reuse and adaptation before new construction",Energy & Buildings,Capital Goods (sub group supply chain),"Evaluate whether existing buildings, structures and fit-outs can meet the need through retention or adaptation before approving demolition and new construction.","Hotels, pubs and restaurants often refresh concepts before the building structure reaches end of life. Retaining and adapting viable assets can reduce demolition, new-material demand, planning risk, closure time and capital cost while preserving established locations.","Define service need; survey existing asset; model retain/refurbish/new-build options; compare whole-life carbon, cost, time and operational performance; document approval rationale.","% of projects comparing retain, refurbish and new-build options; structural and fit-out mass retained (%); embodied tCO2e and capex avoided; closure or programme days avoided","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,4,YES,Consolidate.xlsx,工作表1,26
INIT-0026,Require component reuse and material recovery in building and fit-out projects,Energy & Buildings,Capital Goods (sub group supply chain),"Set project requirements for retention, reuse, refurbishment, salvage and high-value recovery of building and fit-out components.","Frequent hospitality fit-outs generate furniture, flooring, partitions, equipment and finishes with remaining value. Component reuse reduces replacement purchasing and disposal, can shorten lead times and supports a visible circular-economy story for customers and clients.",Pre-demolition/strip-out audit; identify reusable components; set reuse/recovery targets; allocate storage and warranties; procure take-back; evidence final destinations and avoided products.,"% of components retained or reused by mass and value; tonnes sent to reuse, recycling and disposal; replacement purchasing avoided (£); tCO2e avoided","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Projects with no controlled strip-out, fit-out or material scope.",Adopt reuse and recycling practices in buildings and fitouts,4,YES,Consolidate.xlsx,工作表1,27
INIT-0027,Specify lower-carbon and responsibly sourced construction materials,Energy & Buildings,Capital Goods (sub group supply chain),Use EPD/LCA and responsible-sourcing criteria to select functionally equivalent materials with lower embodied carbon and acceptable technical performance.,"Hospitality estates purchase similar materials repeatedly across new sites and refurbishments, so specification choices scale quickly. Lower-carbon and responsibly sourced materials reduce embodied emissions and supply-chain or reputation risk without changing the customer service delivered.",Identify carbon hotspots; define functional/specification requirements; establish baseline EPD; request alternatives; compare matched units/modules; approve and verify installed quantities.,Embodied carbon per functional unit for priority materials (kgCO2e); reduction versus baseline specification (%); % of priority material spend responsibly sourced; installed quantity with verified evidence (%),"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Purchases outside project/material specification control.,Use sustainable and locally-sourced materials in construction and maintenance,4,YES,Consolidate.xlsx,工作表1,28
INIT-0028,"Specify durability, repairability, modularity and supplier take-back for capital equipment",Energy & Buildings,Capital Goods (sub group supply chain),"Use procurement requirements that extend equipment life, enable component repair and replacement, and create a documented end-of-use route.","Kitchen, refrigeration and service equipment operates intensively and failures can immediately affect trading. Durability, repairability and take-back requirements reduce downtime, replacement capex, waste and lifetime cost while improving parts and service availability.","Prioritise equipment categories; set service-life/spares/repair/take-back requirements; score tenders; record warranty and parts availability; track failures, repairs and final route.","% of priority tenders meeting durability, repairability, modularity and take-back criteria; median expected service life; repair-versus-replace rate; % of end-of-use equipment returned through an approved route","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Consumables and low-value purchases outside the capital-equipment policy.,,4,YES,Consolidate.xlsx,工作表1,29
INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",Energy & Buildings,Capital Goods (sub group supply chain),"Design layouts, modules and reversible connections so future changes can occur with less demolition and components can be recovered intact.","Hospitality layouts and brand formats change frequently. Adaptable and demountable fit-outs allow future reconfiguration with less closure time, capex and waste, while preserving the recoverable value of partitions, finishes and components.",Define likely change scenarios; standardise modules; prefer reversible connections; document disassembly sequence and material passport; protect access for maintenance and removal.,% of projects with an approved adaptability and disassembly plan; % of fit-out mass or value using reversible connections; recoverable component mass and value; reconfiguration waste avoided,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,4,YES,Consolidate.xlsx,工作表1,30
INIT-0030,Commission new buildings and major refurbishments against designed operational performance,Energy & Buildings,Capital Goods (sub group supply chain),"Test systems at handover and through seasonal operation, train operators and verify that controls and energy performance match design intent.","Complex building systems often consume more energy or deliver poorer comfort than the design intended. Commissioning identifies defects before they become routine, closes the design-to-operation gap and protects investment, guest comfort and operator training.",Define commissioning plan at design; witness installation/testing; validate controls and metering; train operators; complete seasonal reviews; compare 12-month energy with target and rectify defects.,% of projects completing handover and seasonal commissioning; defects closed within the agreed period (%); 12-month design-to-operation energy gap (%); comfort or service-performance exceptions,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,4,YES,Consolidate.xlsx,工作表1,31
